,Generation profile (kW)
0,568405.8918026711
1,589400.5756510617
2,662414.3240997691
3,649415.4996272402
4,664132.9698430861
5,633452.3250150628
6,615222.1700446575
7,653795.8349481577
8,846422.6105807372
9,830947.287642524
10,608718.3693394712
11,441311.50983378384
12,473268.57416999084
13,465067.3140832782
14,390175.50196836574
15,258618.65050757033
16,84360.25479820304
17,108121.27548917037
18,134017.64019082973
19,168452.8317148664
20,199093.62799171408
21,220744.54209834413
22,194468.13755193807
23,168846.9355803423
24,198563.13789080226
25,157189.49351544294
26,102457.14032743919
27,93853.0294019389
28,70172.89424193405
29,63159.63792235819
30,82095.5365261161
31,94517.47570311572
32,268311.53210233065
33,313945.35011512996
34,274921.01151674456
35,259823.87382984196
36,267495.1252433162
37,339468.6808998566
38,371063.42490746867
39,353436.5772263461
40,272500.8519320358
41,446740.02656174044
42,530149.5225178126
43,698229.8319170141
44,659224.2969442066
45,702829.5263949363
46,810222.7335954516
47,810222.7335954516
48,810222.7335954516
49,810222.7335954516
50,810222.7335954516
51,766200.0444256185
52,596170.0169320249
53,516743.2793945153
54,574057.3694779539
55,595032.6955162098
56,646218.3546537472
57,425228.7296474337
58,294351.4918502433
59,353540.3332003116
60,386771.832671624
61,399359.6122252869
62,363090.04848314147
63,464906.97512897226
64,475625.72785340453
65,645979.6282479385
66,771388.5966326321
67,722589.2469888523
68,538565.942565519
69,513000.9580427748
70,474030.6424200959
71,430060.8110319856
72,507277.0405090255
73,488064.446599776
74,609533.4824023588
75,742692.3188485233
76,810222.7335954516
77,810222.7335954516
78,810222.7335954516
79,816670.2006411297
80,1000000.0
81,1000000.0
82,1000000.0
83,1000000.0
84,1000000.0
85,1000000.0
86,1000000.0
87,968539.8380596748
88,810222.7335954516
89,810222.7335954516
90,810222.7335954516
91,810222.7335954516
92,810222.7335954516
93,810222.7335954516
94,810222.7335954516
95,755860.1947763958
96,589994.7312862207
97,299448.60153760685
98,292384.7578267045
99,414705.9143130073
100,303106.3777377224
101,269520.0555597582
102,568351.1623832409
103,681053.4452283205
104,898806.4154558792
105,634379.0760887042
106,373721.7038796445
107,379446.33780236926
108,514463.64487609395
109,387612.78560005093
110,373891.5392908928
111,750945.0059603836
112,810222.7335954516
113,810222.7335954516
114,810222.7335954516
115,810222.7335954516
116,810222.7335954516
117,810222.7335954516
118,810222.7335954516
119,810222.7335954516
120,810222.7335954516
121,810222.7335954516
122,810222.7335954516
123,810222.7335954516
124,810222.7335954516
125,810222.7335954516
126,810222.7335954516
127,780894.6373643818
128,768109.5356684461
129,788342.5384547415
130,901763.3325025961
131,926731.0189018389
132,821738.4543123889
133,826807.3533707033
134,777731.4744578287
135,629470.2028049461
136,621919.5327466349
137,544893.0414080214
138,470327.87303637684
139,412276.25362207217
140,244560.20236261823
141,136580.2359833748
142,76483.13742935675
143,41631.1217243208
144,54057.017287219205
145,76847.17916275733
146,130906.70177269356
147,298758.1156661762
