,Generation profile (kW)
0,126889.00950592505
1,103366.81336567356
2,100806.72702826167
3,108316.14493799371
4,62005.2632396872
5,63518.1707735531
6,62236.747973014484
7,59912.516481536935
8,113026.38082635692
9,186486.05893816875
10,287183.7455763251
11,273326.1115316197
12,270687.1957394125
13,266426.4765840187
14,280123.6217138166
15,291416.90375064866
16,254524.90227451434
17,40721.00498000727
18,18885.62454799386
19,82118.31200923792
20,83746.69513549599
21,78018.42237094865
22,14519.62847148023
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,89530.53845102932
33,279988.24918860797
34,213614.8098649892
35,279147.8385404128
36,262098.00439231397
37,263635.0843397472
38,280452.5567993696
39,293542.1111166479
40,262330.7065782976
41,108504.66977354058
42,296486.29478599346
43,759242.1633386402
44,810222.7335954516
45,478227.7980308954
46,650294.5905242235
47,494793.78126161546
48,589054.6460018883
49,501176.58145524526
50,401397.1105923043
51,305263.83651131496
52,309634.51849613845
53,259138.87476441372
54,227821.13906959418
55,253056.04996207583
56,252003.3906439452
57,232910.85932785206
58,206679.79731192777
59,175829.62597123493
60,132445.85084734965
61,138661.11263295566
62,107742.31799360519
63,208937.29426941002
64,250253.51385473143
65,46466.51544520231
66,0.0
67,31910.11990275875
68,41447.56556705684
69,63242.62233084516
70,72099.67341557835
71,80708.38208526066
72,100021.26401815719
73,133590.20562577582
74,115829.66822957307
75,87627.50343987235
76,89195.18338321777
77,81594.74895062341
78,108013.82505879346
79,155315.10278856632
80,149975.9542099332
81,105465.88550960933
82,189278.33239594792
83,164062.24487053975
84,149542.13788498877
85,175450.59990548345
86,160666.50481223827
87,154963.8707816521
88,182259.7525516689
89,226211.5238552023
90,527165.7561567691
91,430909.5285695137
92,549358.1615131561
93,524783.5480046169
94,644253.9588112654
95,682959.3521866332
96,746267.9606138956
97,810222.7335954516
98,810222.7335954516
99,810222.7335954516
100,810222.7335954516
101,810222.7335954516
102,810222.7335954516
103,810222.7335954516
104,902271.1455484056
105,1000000.0
106,569525.1364978375
107,399205.6527925832
108,311254.4050215527
109,344995.7494478879
110,449488.0463226964
111,474414.4064629569
112,391185.4287778818
113,176293.07834153445
114,126472.989532473
115,291050.55822073657
