,Generation profile (kW)
0,414453.3816315607
1,441064.364603874
2,295892.7069564553
3,388344.3343359924
4,363533.2081901751
5,300327.2342903176
6,250904.06020172287
7,268426.92079876224
8,389276.4125202057
9,354040.4034562088
10,308219.12247233343
11,247973.44877291712
12,215723.54451064844
13,241037.3034352639
14,261526.59738174293
15,207651.25084372616
16,32277.894080209826
17,59513.17324175054
18,84732.33567422534
19,226960.0742406816
20,183248.17451608152
21,261205.98310078267
22,185264.67511247646
23,337569.98856252234
24,425946.8935504372
25,440779.70080309734
26,461851.92391209985
27,544709.4851928982
28,612251.1662499302
29,700674.5669399954
30,758529.2889827235
31,810222.7335954516
32,953925.3043721691
33,716235.5516007576
34,439454.8195235944
35,388328.7358686134
36,358689.1383777465
37,377262.9319841269
38,416214.46418360365
39,229222.65789717966
40,266638.1916286771
41,407096.5444388658
42,527539.0876507964
43,681584.0755725222
44,537148.5971419242
45,468419.10143967665
46,526210.2907773271
47,659531.125202402
48,675504.6797858806
49,766885.4721911789
50,773543.7619821923
51,810222.7335954516
52,810222.7335954516
53,810222.7335954516
54,810222.7335954516
55,810222.7335954516
56,835257.2055560355
57,546475.5686196705
58,461016.6891229928
59,391199.60826900165
60,330269.63308348303
61,296185.62480303587
62,259947.13694400524
63,256702.69519449983
64,228045.5914590657
65,602984.5987663649
66,478181.61731937533
67,720474.6748014768
68,798470.8905295485
69,474745.6726840043
70,664152.8953009566
71,602651.0595770134
72,761092.3571652537
73,810222.7335954516
74,810222.7335954516
75,810222.7335954516
76,810222.7335954516
77,810222.7335954516
78,810222.7335954516
79,810222.7335954516
80,953956.1725927619
81,1000000.0
82,771642.940281735
83,542320.6237381769
84,536979.358657199
85,532520.9950994567
86,552100.1180226109
87,453896.6124985203
88,372783.0858924888
89,810222.7335954516
90,810222.7335954516
91,810222.7335954516
92,810222.7335954516
93,709878.2410386204
94,406470.73525907635
95,396948.77938749164
96,207060.3387110403
97,281070.369888061
98,317213.05850567605
99,178277.61807646515
100,140444.4087150381
