,Site Name,Scenario Choice,Site Lat,Site Lon,ATB Year,Resource Year,Critical Load Factor,kW continuous load,Useful Life,PTC,ITC,Hub Height (m),Storage Enabled,Wind Cost kW,Solar Cost kW,Storage Cost kW,Storage Cost kWh,Storage Hours,Wind MW built,Solar MW built,Storage MW built,Storage MWh built,Electrolyzer Size,Electrolyzer Total System Size,Battery Can Grid Charge,Grid Connected HOPP,Built Interconnection Size,REOpt Interconnection Size,Total Installed Cost $(HOPP),Total Yearly Electrical Output,LCOE,Total Annual H2 production (kg),Levelized Cost H2/kg (new method - no operational costs),Levelized Cost H2/kg (new method - with operational costs),Levelized cost of H2 (excl. electricity) (H2A),Levelized H2 Elec Feedstock Cost/kg (HOPP),Total H2 cost/kg,H2 Elec Feedstock Cost/kg (HOPP) Net Cap Cost Method,H2A scaled total install cost,H2A scaled total install cost per kw,REOpt Energy Shortfall,REOpt Curtailment,HOPP Total Generation,HOPP Energy Shortfall,HOPP Curtailment,Battery Generation,Electricity to Grid
0,Central Georgia,3MW 160HH GA,33.162,-83.8,2030,2013,0.9,5000,30,no,no,160,False,1359,9999,101,116,13.700527711349219,150,0,15.869098098239538,217.41501824904998,45.4054054054054,50,False,True,100000,100000,212816040.42550534,539236899.0125313,4.648696491740253,4667837.556827845,3.9746901856063483,5.820442480111207,0.9188652647772498,2.580026552915841,3.4988918176930905,1.6205444565712748,17411483.285367932,348.22966570735866,3990574.0919999997,239174203.379,429174810.51851463,7965704.774483502,56518262.304860696,2122081.0119965365,53543826.18915597
1,Central Georgia,3MW 90HH GA,33.162,-83.8,2030,2013,0.9,5000,30,no,no,90,False,1133,9999,101,116,13.700527711349219,150,0,15.869098098239538,217.41501824904998,45.4054054054054,50,False,True,100000,100000,178916040.42550534,412155518.0988442,5.220620274215803,4093019.1803396936,3.833432981479293,5.914735316024086,0.980111869788936,2.897444252189771,3.877556121978707,1.5526697147159707,15785721.113935433,315.71442227870864,3990574.0919999997,239174203.379,350724717.0372196,10079435.749698892,31992370.967320595,1907530.3017212634,29438430.094304044
2,Central Georgia,2018 COE 160HH GA,33.162,-83.8,2030,2013,0.9,5000,30,no,no,160,False,1380,9999,101,116,13.700527711349219,150,0,15.869098098239538,217.41501824904998,45.4054054054054,50,False,True,100000,100000,215966040.42550534,539236899.0125313,4.696622752080341,4667837.556827845,4.029072363214198,5.8748246577190555,0.9188652647772498,2.606625627404589,3.5254908921818386,1.6430233160992669,17411483.285367932,348.22966570735866,3990574.0919999997,239174203.379,429174810.51851463,7965704.774483502,56518262.304860696,2122081.0119965365,53543826.18915597
3,Central Georgia,2018 COE 90HH GA,33.162,-83.8,2030,2013,0.9,5000,30,no,no,90,False,1185,9999,101,116,13.700527711349219,150,0,15.869098098239538,217.41501824904998,45.4054054054054,50,False,True,100000,100000,186716040.42550534,412155518.0988442,5.36584752778482,4093019.1803396936,3.987005178356831,6.068307512901624,0.980111869788936,2.9780453779205747,3.9581572477095106,1.616148743928605,15785721.113935433,315.71442227870864,3990574.0919999997,239174203.379,350724717.0372196,10079435.749698892,31992370.967320595,1907530.3017212634,29438430.094304044
4,Central Georgia,ATB ADV GA,33.162,-83.8,2030,2013,0.9,5000,30,no,no,135,False,940,9999,101,116,13.700527711349219,150,0,15.869098098239538,217.41501824904998,45.4054054054054,50,False,True,100000,100000,147146040.42550534,369623253.5568218,5.173744275232195,3753148.9916038965,3.477562382512319,5.731919927697381,1.0247016267504863,2.8714280727538686,3.896129699504355,1.4015388416637966,14814404.271175813,296.28808542351624,3990574.0919999997,239174203.379,315276166.3590222,10219942.937248943,28300809.436754104,1628526.9656791661,26046277.761045452
5,North TX High Resource,3MW 160HH High TX,35.23328,-102.287,2030,2013,0.9,5000,30,no,no,160,False,1359,9999,101,116,13.700527711349219,150,0,15.869098098239538,217.41501824904998,45.4054054054054,50,False,True,100000,100000,212816040.42550534,836733232.7403729,2.976035798782779,6143742.236169355,3.0748192400012915,4.517805115307788,0.8145376707049455,1.6516998683244424,2.466237539029388,1.2634439747022126,21601876.373293504,432.0375274658701,3990574.0919999997,239174203.379,623002243.472122,3533355.841830948,108470541.17760953,2012850.2460967777,105260448.09064144
6,North TX High Resource,3MW 90HH High TX,35.23328,-102.287,2030,2013,0.9,5000,30,no,no,90,False,1133,9999,101,116,13.700527711349219,150,0,15.869098098239538,217.41501824904998,45.4054054054054,50,False,True,100000,100000,178916040.42550534,805504531.8230712,2.7169132004411782,6077857.71155447,2.65613961388939,4.112896846808593,0.8180103288754804,1.507886826244854,2.3258971551203342,1.0884250154064516,21411036.250860665,428.2207250172133,3990574.0919999997,239174203.379,605625007.4753615,3469563.105986968,101384695.4977962,1823039.0657737816,98494828.84991375
7,North TX High Resource,2018 COE 90HH High TX,35.23328,-102.287,2030,2013,0.9,5000,30,no,no,90,False,1185,9999,101,116,13.700527711349219,150,0,15.869098098239538,217.41501824904998,45.4054054054054,50,False,True,100000,100000,186716040.42550534,805504531.8230712,2.8010205740033767,6077857.71155447,2.759559926969721,4.216317159888924,0.8180103288754804,1.5545664185718742,2.3725767474473547,1.131173775980875,21411036.250860665,428.2207250172133,3990574.0919999997,239174203.379,605625007.4753615,3469563.105986968,101384695.4977962,1823039.0657737816,98494828.84991375
8,North TX High Resource,ATB ADV High TX,35.23328,-102.287,2030,2013,0.9,5000,30,no,no,135,False,940,9999,101,116,13.700527711349219,150,0,15.869098098239538,217.41501824904998,45.4054054054054,50,False,True,100000,100000,147146040.42550534,675566987.287391,2.7962630894897225,5538498.663948473,2.4302855837408583,4.012451341697768,0.8505299149961477,1.5519260146667961,2.4024559296629437,0.9889445841030499,19881309.99727544,397.62619994550874,3990574.0919999997,239174203.379,527947867.0432808,4015134.1333127017,75181123.26836586,1808889.991258878,72437996.97574434
9,Central TX Moderate Resource,3MW 160HH Moderate,32.183170000000004,-101.515,2030,2013,0.9,5000,30,no,no,160,False,1359,9999,101,116,13.700527711349219,150,0,15.869098098239538,217.41501824904998,45.4054054054054,50,False,True,100000,100000,212816040.42550534,783168829.6768183,3.1485698945895355,6025510.584920253,3.13067668936604,4.598667225478054,0.8210396476207064,1.747456291497192,2.5684959391178985,1.283537956250651,21267188.35560326,425.34376711206517,3990574.0919999997,239174203.379,595273119.9168173,3385883.039758818,95215009.40588436,1628263.1046099376,92663820.25975184
