,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Wind,-48114703.92718139,-11697034.173692908,-7804982.923543109,-12302815.5087546,-15094159.865827387,-15323249.493576648,-17485532.461562227,-19653251.28460747,-19900660.18068575,-20156127.475802753,-20420632.32406832,-20694049.208961755,-18916451.826137614,-19172850.980364945,-20543879.287845675,-21488448.82393089,-21836789.54235828,-22687906.142359063,-18968569.5094024,-14812932.034284689,-14964436.876819458,-15147850.766466456,-15335394.483063655,-15499291.012475466,-13373566.835931366,-9122948.12293941,-10814547.339989852,-11923521.056037672,-12156350.778731747,-13054673.32725849,-8972047.665225256
Solar,-1502324.2481614912,403838.5862171245,28701.24876723212,-19858.28898173083,-49333.9154143815,-50177.08258235222,-72533.23928559467,-94892.18802487757,-95769.30608859067,-96675.44675064033,-97619.098687062,-98594.31824681086,-78579.69362058587,-79253.9192521544,-91233.4838169131,-98787.42371144469,-100304.70534568725,-106869.8715345197,-100175.94979904704,-88616.90901196963,-89105.81177622662,-89971.88560017859,-90858.21589025341,-91407.89894777417,-68571.21619645235,-24028.52647699836,-40096.771004192975,-50195.36903405021,-51328.675061584814,-59227.10475172657,-42487.677600569936
H2,-22127897.339531366,-6346308.692024838,-12821388.557361238,-13023338.56979087,-13361881.306381375,-13700692.882759303,-14039849.932210721,-14380148.608615965,-21472574.657946743,-14898346.074739486,-15208367.002297796,-15523071.484325498,-15843246.21261917,-16168428.69817122,-16499392.2461783,-24537281.49043536,-17028648.727338627,-17382039.4449585,-17741351.516645335,-18106325.95087912,-18477591.598046586,-19175274.602334693,-28667305.989722863,-20104460.169968948,-20511167.847635612,-20924403.701597035,-21344456.98450972,-21771462.86968349,-22244838.77883762,-32749069.348456785,-50425085.922782585
