SiteID,976301,Site Timezone,-6,Data Timezone,0,Longitude,-101.94092,Latitude,35.207012
Year,Month,Day,Hour,Minute,Surface Air Pressure (Pa),Precipitation Rate 0m,Air Temperature at 80m (C),Wind Speed at 80m (m/s),Wind Direction at 80m (deg),Air Temperature at 100m (C),Wind Speed at 100m (m/s),Wind Direction at 100m (deg)
2015,1,1,0,0,89810,0,-9.28,2.35,208.3,-9.47,2.45,208.69
2015,1,1,1,0,89900,0,-9.38,3.62,199.25,-9.58,3.83,200.59
2015,1,1,2,0,89810,0,-9.17,5.13,181.89000000000001,-9.34,5.44,184.37
2015,1,1,3,0,89800,0,-9.22,5.12,187.18,-9.41,5.3,187.93
2015,1,1,4,0,89720,0,-9.01,4.14,196.61,-9.22,4.25,197.04
2015,1,1,5,0,89790,0,-8.83,4.17,171.19,-9.02,4.26,172.24
2015,1,1,6,0,89700,0,-8.72,2.49,156.21,-8.92,2.52,156.8
2015,1,1,7,0,89510,0,-8.52,2.41,207.85,-8.68,2.6,208.81
2015,1,1,8,0,89460,0,-8.18,1.93,200.82,-8.27,2.14,210.38
2015,1,1,9,0,89390,0,-7.7700000000000005,2.12,260.96,-7.930000000000001,2.43,263
2015,1,1,10,0,89480,0,-7.5,3.1,239.62,-7.62,3.41,242.8
2015,1,1,11,0,89370,0,-7.46,1.87,203.53,-7.54,2.13,211.62
2015,1,1,12,0,89380,0,-7.28,3.69,192.83,-7.33,3.79,198.38
2015,1,1,13,0,89380,0,-7,3.85,211.13,-7.01,4,218.15
2015,1,1,14,0,89280,0,-6.63,3.75,218.26,-6.75,4.0200000000000005,221.72
2015,1,1,15,0,89290,0,-6.41,3.58,205.51,-6.57,3.83,208.19
2015,1,1,16,0,89370,0,-6.0600000000000005,5.33,192.03,-6.26,5.44,192.24
2015,1,1,17,0,89350,0,-5.2700000000000005,4.66,200.13,-5.48,4.75,200.53
2015,1,1,18,0,89160,0,-5.09,5.41,202.84,-5.29,5.54,202.70000000000002
2015,1,1,19,0,89100,0,-4.5200000000000005,4.6000000000000005,210.61,-4.74,4.68,210.85
2015,1,1,20,0,88950,0,-3.43,3.88,217.3,-3.63,3.94,217.71
2015,1,1,21,0,89040,0,-3.59,3.25,210.58,-3.79,3.3000000000000003,211.27
2015,1,1,22,0,89100,0,-3.77,3.21,185.16,-3.96,3.24,186.35
2015,1,1,23,0,89100,0,-3.54,3.2800000000000002,211.21,-3.73,3.34,211.71
2015,1,2,0,0,89030,0,-3.06,2.94,215.72,-3.23,3.11,219.61
2015,1,2,1,0,89070,0,-2.95,5.05,199.33,-3.08,5.17,202.13
2015,1,2,2,0,89120,0,-2.82,6.640000000000001,188.01,-2.92,6.72,190.62
2015,1,2,3,0,89200,0,-3.2600000000000002,5.7700000000000005,189.76,-3.34,5.84,191.9
2015,1,2,4,0,89170,0,-2.96,4.44,212.75,-3.0700000000000003,4.49,215.20000000000002
2015,1,2,5,0,89190,0,-3.52,3.68,191.4,-3.58,3.68,192.3
2015,1,2,6,0,89200,0,-3.81,3.46,204.48000000000002,-3.95,3.42,206.34
2015,1,2,7,0,89190,0,-5.09,5.2,231.28,-5.15,4.76,231.13
2015,1,2,8,0,89110,0,-4.12,5.16,257.45,-4.11,4.76,260.08
2015,1,2,9,0,89110,0,-3.74,2.34,288.84000000000003,-3.77,2.3000000000000003,292.22
2015,1,2,10,0,89160,0,-4.66,3.64,334.61,-4.47,3.5100000000000002,336.34000000000003
2015,1,2,11,0,89160,0,-4.86,3.8000000000000003,340.77,-4.67,3.94,344.22
2015,1,2,12,0,89120,0,-4.83,4.71,345.83,-4.66,4.86,349.57
2015,1,2,13,0,89230,0,-4.83,3.2600000000000002,344.46,-4.74,3.3000000000000003,353.01
2015,1,2,14,0,89220,0,-4.73,2.71,20.03,-4.51,3.0700000000000003,25
2015,1,2,15,0,89330,0,-4.68,2.97,333.26,-4.58,2.93,340.23
2015,1,2,16,0,89350,0,-4.12,0.89,65.09,-4.24,0.88,66.84
2015,1,2,17,0,89300,0,-2.79,1.92,327.09000000000003,-3,1.9100000000000001,325.95
2015,1,2,18,0,89190,0,-1.74,2.49,11.950000000000001,-1.97,2.5,11.08
2015,1,2,19,0,89200,0,-0.18,2.54,102.85000000000001,-0.43,2.6,103.44
