SiteID,525331,Site Timezone,-9,Data Timezone,0,Longitude,-162.50232,Latitude,66.67967
Year,Month,Day,Hour,Minute,air pressure at 100m (Pa),air temperature at 80m (C),wind speed at 80m (m/s),wind direction at 80m (deg),air temperature at 100m (C),wind speed at 100m (m/s),wind direction at 100m (deg)
2019,1,1,0,0,95660,-4,9.56,114.17,-4.05,10.1,114.12
2019,1,1,1,0,95680,-3.86,8.05,134.23,-3.66,7.76,139.26
2019,1,1,2,0,95780,-3.0500000000000003,9.290000000000001,169.75,-2.79,9.08,173.35
2019,1,1,3,0,95860,-4.21,13.52,180.75,-4.16,14.35,183.45000000000002
2019,1,1,4,0,96070,-5.78,15.5,211.37,-5.97,16.32,212.46
2019,1,1,5,0,96290,-8.05,19.56,219.4,-8.19,20.22,219.9
2019,1,1,6,0,96440,-9.21,19.69,224.46,-9.27,20.54,225.12
2019,1,1,7,0,96800,-9.8,13.08,211.85,-9.82,13.89,213.97
2019,1,1,8,0,96880,-10.18,11.16,217.44,-10.19,11.98,219.66
2019,1,1,9,0,97050,-10.28,5.17,208.99,-10.23,5.7,210.49
2019,1,1,10,0,97090,-10.18,4.71,91.8,-10.21,4.39,89.23
2019,1,1,11,0,97110,-9.36,9.33,151.69,-8.83,9.540000000000001,153.74
2019,1,1,12,0,97040,-7.65,8.94,130.85,-7.15,8.94,135.27
2019,1,1,13,0,96960,-8.55,9.34,101.38,-7.7700000000000005,9.73,109.81
2019,1,1,14,0,96860,-7.86,12.14,93.08,-6.95,12.55,93.85000000000001
2019,1,1,15,0,96740,-7.09,12.15,96.42,-7.01,12.93,97.13
2019,1,1,16,0,96630,-6.83,13.67,99.17,-6.73,14.47,99.53
2019,1,1,17,0,96520,-6.05,12.620000000000001,101.16,-5.9,13.530000000000001,102.77
2019,1,1,18,0,96460,-5.65,12.64,92.85000000000001,-5.46,13.48,94.86
2019,1,1,19,0,96420,-5.17,12.71,84.95,-4.92,13.35,86.48
2019,1,1,20,0,96370,-5.03,10.9,85.01,-4.91,11.57,87.66
2019,1,1,21,0,96300,-4.11,9.76,79.38,-4.07,10.43,82.48
2019,1,1,22,0,96240,-4.16,11.01,81.36,-4.15,11.75,83.42
2019,1,1,23,0,96150,-4.49,10.59,69.88,-4.39,11.19,73.8
2019,1,2,0,0,96030,-3.67,9.83,71.73,-3.56,10.44,73.9
2019,1,2,1,0,95980,-2.63,8.370000000000001,55.02,-2.61,8.76,59.56
2019,1,2,2,0,95970,-3.72,11.08,31.900000000000002,-3.5700000000000003,11.98,32.95
2019,1,2,3,0,95920,-2.85,8.46,8.26,-2.85,8.68,12.74
2019,1,2,4,0,95890,-3,10.03,15.13,-2.86,10.63,20.35
2019,1,2,5,0,95890,-3.5,10.040000000000001,2.83,-3.11,10.02,4.72
2019,1,2,6,0,95910,-6.44,8.06,331.37,-5.75,8.44,338.96
