,Year,Cumulative cash flow,Investor cash flow,Monetized tax losses,Gross margin,Cost of goods sold ($/year),Cost of goods sold ($/kg),Average utilization,Hydrogen sales (kg/day),Capacity covered by TOPC (kg/day),Cost of Hydrogen ($/kg),Hydrogen sales (kg/year),Sales revenue of Hydrogen ($/year),Value of Water ($/gal),Water expenses ($/year),Value of Electricity PTC ($/kg),Electricity PTC ($/year),Value of H2 PTC ($/kg),H2 PTC ($/year),Annual operating incentive ($/year),Incidental revenue ($/year),Credit card fees ($/year),Sales tax ($/year),Road tax ($/year),Total revenue ($/year),Total feedstock/utilities cost ($/year),Labor ($/year),Total annual maintenance ($/year),Rent of land ($/year),Property insurance ($/year),Licensing & permitting ($/year),Administrative expense ($/year),TOPC revenue ($/year),Wind and Electrical Export Fixed O&M Cost expenses ($/year),Wave O&M Cost expenses ($/year),Solar O&M Cost expenses ($/year),Battery O&M Cost expenses ($/year),Electrolysis System Fixed O&M Cost expenses ($/year),Hydrogen Storage Fixed O&M Cost expenses ($/year),Total operating expense ($/year),EBITD ($/year),Interest on outstanding debt ($/year),Depreciation ($/year),Taxable income ($/year),Remaining available deferred carry-forward tax losses ($/year),Income taxes payable ($/year),Income before extraordinary items ($/year),Sale of non-depreciable assets ($/year),Net capital gains or loss ($/year),Capital gains taxes payable ($/year),Net income ($/year),Net annual operating cash flow ($/year),Capital expenditure for Wind System ($/year),Capital expenditure for Wave System ($/year),Capital expenditure for Solar System ($/year),Capital expenditure for Battery System ($/year),Capital expenditure for Electrical Export system ($/year),Capital expenditure for Electrolysis System ($/year),Capital expenditure for Hydrogen Storage System ($/year),Expenditure for non-depreciable fixed assets ($/year),Capital expenditures for equipment installation ($/year),Total capital expenditures ($/year),Incurrence of debt ($/year),Repayment of debt ($/year),Inflow of equity ($/year),Dividends paid ($/year),One-time capital incentive ($/year),Net cash for financing activities ($/year),Net change of cash ($/year),Cumulative cash ($/year),Cumulative PP&E ($/year),Cumulative depreciation ($/year),Net PP&E ($/year),Cumulative deferred tax losses ($/year),Total assets ($/year),Cumulative debt ($/year),Total liabilities ($/year),Cumulative capital incentives equity ($/year),Cumulative investor equity ($/year),Retained earnings ($/year),Retained earnings no dividends ($/year),Total equity ($/year),Investor equity less capital incentive ($/year),Returns on investor equity,Debt/Equity ratio,Returns on total equity,Debt service coverage ratio (DSCR)
0,2030,-1139957455.5760796,-1139957455.5760796,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.563723286121834,0.0,0.0,0.005470841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41275125.281676605,0.0,2001.0,42.888,32925985.047892097,6517706.148364854,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-1000000.0,0.0,0.0,0.0,1423008000.0,0.0,99100000.0,37000000.0,0.0,1344553141.8991814,196023137.26775512,-1000000.0,0,3100684279.1669364,1960726823.5908568,0.0,1139957455.5760796,0.0,0.0,3100684279.1669364,0.0,0.0,3100684279.1669364,-0.0,3100684279.1669364,0.0,3100684279.1669364,1960726823.5908568,1960726823.5908568,0.0,1139957455.5760796,0.0,0.0,1139957455.5760796,1139957455.5760796,0.0,1.72,0.0,0.0
1,2031,-1212516569.9128084,-72559114.33672875,23215789.882045183,0.0,90193433.88517942,0.0,0.0,0.0,0.0,5.563723286121834,0.0,0.0,0.00565685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41275125.281676605,0.0,2001.0,42.888,32925985.047892097,6517706.148364854,0.0,0.0,90193433.88517942,0.0,-90193433.88517942,0,-23215789.882045183,-66977644.003134236,0.0,0.0,0.0,-66977644.003134236,-66977644.003134236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0,0.0,0.0,0.0,72559114.33672875,0.0,0.0,72559114.33672875,5581470.33359452,5581470.33359452,3100684279.1669364,-0.0,3100684279.1669364,-0.0,3106265749.5005307,1960726823.5908568,1960726823.5908568,0.0,1212516569.9128084,-66977644.003134236,-66977644.003134236,1145538925.9096742,1145538925.9096742,-0.058468239261225616,1.7116195523725575,-0.058468239261225616,0.0
2,2032,-1279494213.9159427,-66977644.003134236,23215789.882045183,0.0,90193433.88517942,0.0,0.0,0.0,0.0,5.563723286121834,0.0,0.0,0.005849183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41275125.281676605,0.0,2001.0,42.888,32925985.047892097,6517706.148364854,0.0,0.0,90193433.88517942,0.0,-90193433.88517942,0,-23215789.882045183,-66977644.003134236,0.0,0.0,0.0,-66977644.003134236,-66977644.003134236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0,0.0,0.0,0.0,66977644.003134236,0.0,0.0,66977644.003134236,0.0,5581470.33359452,3100684279.1669364,-0.0,3100684279.1669364,-0.0,3106265749.5005307,1960726823.5908568,1960726823.5908568,0.0,1279494213.9159427,-133955288.00626847,-133955288.00626847,1145538925.9096742,1145538925.9096742,-0.058468239261225616,1.7116195523725575,-0.058468239261225616,0.0
3,2033,-1346471857.919077,-66977644.003134236,23215789.882045183,0.0,90193433.88517942,0.0,0.0,0.0,0.0,5.563723286121834,0.0,0.0,0.006048055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41275125.281676605,0.0,2001.0,42.888,32925985.047892097,6517706.148364854,0.0,0.0,90193433.88517942,0.0,-90193433.88517942,0,-23215789.882045183,-66977644.003134236,0.0,0.0,0.0,-66977644.003134236,-66977644.003134236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0,0.0,0.0,0.0,66977644.003134236,0.0,0.0,66977644.003134236,0.0,5581470.33359452,3100684279.1669364,-0.0,3100684279.1669364,-0.0,3106265749.5005307,1960726823.5908568,1960726823.5908568,0.0,1346471857.919077,-200932932.0094027,-200932932.0094027,1145538925.9096742,1145538925.9096742,-0.058468239261225616,1.7116195523725575,-0.058468239261225616,0.0
4,2034,-1014678646.3571565,331793211.56192046,153499089.3688127,0.6678477967994371,998786471.8384467,13.808133217831928,1.0,198173.15270208023,0.0,5.563723286121834,72333200.73625928,402441913.2960508,0.006253689,18064659.6549716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,402441913.2960508,18064659.6549716,0.0,0.0,0.0,34886448.14062803,0.0,0.0,0.0,41275125.281676605,0.0,2001.0,42.888,32925985.047892097,6517706.148364854,133671968.16153318,268769945.1345176,90193433.88517942,774921069.7917341,-596344558.5423958,0,-153499089.3688127,-442845469.17358315,0.0,0.0,0.0,-442845469.17358315,332075600.61815095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0,0.0,0.0,0.0,0.0,-331793211.56192046,0.0,-331793211.56192046,282389.0562304696,5863859.389824989,3100684279.1669364,-774921069.7917341,2325763209.375202,-0.0,2331627068.765027,1960726823.5908568,1960726823.5908568,0.0,1346471857.919077,-975571612.7449062,-643778401.1829858,370900245.17417073,370900245.17417073,-1.1939745927254044,5.286399373152532,-1.1939745927254044,-1.4818152355410938
5,2035,-705938523.9296737,308740122.42748284,122608910.0443682,0.691080312123446,878778005.154513,12.149026950413907,1.0,198173.15270208023,0.0,5.563723286121834,72333200.73625928,402441913.2960508,0.006466314,18678856.85267976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,402441913.2960508,18678856.85267976,0.0,0.0,0.0,24922513.025245916,0.0,0.0,0.0,41275125.281676605,0.0,2001.0,42.888,32925985.047892097,6517706.148364854,124322230.24385923,278119683.05219156,90193433.88517942,664262341.0254744,-476336091.8584623,0,-122608910.0443682,-353727181.81409407,0.0,0.0,0.0,-353727181.81409407,310535159.21138036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0,0.0,0.0,0.0,0.0,-308740122.42748284,0.0,-308740122.42748284,1795036.783897547,7658896.173722536,3100684279.1669364,-1439183410.8172085,1661500868.3497279,-0.0,1669159764.5234504,1960726823.5908568,1960726823.5908568,0.0,1346471857.919077,-1638038916.986483,-997505582.9970798,-291567059.0674062,-291567059.0674062,1.2131932288424851,-6.724788561034134,1.2131932288424851,-1.1836145195643482
6,2036,-443085657.4567359,262852866.47293776,72111143.09991726,0.7071903212054942,682593984.3913004,9.436800493319367,1.0,198173.15270208023,0.0,5.563723286121834,72333200.73625928,402441913.2960508,0.006686169,19313938.92159041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,402441913.2960508,19313938.92159041,0.0,0.0,0.0,17804088.078139044,0.0,0.0,0.0,41275125.281676605,0.0,2001.0,42.888,32925985.047892097,6517706.148364854,117838887.365663,284603025.9303878,90193433.88517942,474561663.14045805,-280152071.09524965,0,-72111143.09991726,-208040927.9953324,0.0,0.0,0.0,-208040927.9953324,266520735.14512566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0,0.0,0.0,0.0,0.0,-262852866.47293776,0.0,-262852866.47293776,3667868.6721878937,11326764.84591043,3100684279.1669364,-1913745073.9576666,1186939205.2092698,-0.0,1198265970.05518,1960726823.5908568,1960726823.5908568,0.0,1346471857.919077,-2108932711.4547534,-1205546510.9924123,-762460853.5356765,-762460853.5356765,0.27285456955672793,-2.5715770383470735,0.27285456955672793,-0.6961304522204667
7,2037,-210863270.8099539,232222386.646782,36025868.49416031,0.7181863443856905,542402552.3565027,7.498666543655469,1.0,198173.15270208023,0.0,5.563723286121834,72333200.73625928,402441913.2960508,0.006913498,19970610.68999863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,402441913.2960508,19970610.68999863,0.0,0.0,0.0,12722155.702444853,0.0,0.0,0.0,41275125.281676605,0.0,2001.0,42.888,32925985.047892097,6517706.148364854,113413626.75837705,289028286.5376737,90193433.88517942,338795491.7129462,-139960639.06045187,0,-36025868.49416031,-103934770.56629156,0.0,0.0,0.0,-103934770.56629156,234860721.1466546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0,0.0,0.0,0.0,0.0,-232222386.646782,0.0,-232222386.646782,2638334.4998725858,13965099.345783016,3100684279.1669364,-2252540565.670613,848143713.4963236,-0.0,862108812.8421066,1960726823.5908568,1960726823.5908568,0.0,1346471857.919077,-2445089868.6678267,-1309481281.558704,-1098618010.7487497,-1098618010.7487497,0.09460501243326247,-1.7847211718789748,0.09460501243326247,-0.3477784853822911
8,2038,-181567116.45180514,29296154.358148754,31322456.030477304,0.7209703516984179,524129776.66231847,7.24604706175517,1.0,198173.15270208023,0.0,5.563723286121834,72333200.73625928,402441913.2960508,0.007148557,20649611.649886142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,402441913.2960508,20649611.649886142,0.0,0.0,0.0,10922753.512993118,0.0,0.0,0.0,41275125.281676605,0.0,2001.0,42.888,32925985.047892097,6517706.148364854,112293225.52881281,290148687.76723796,90193433.88517942,321643117.24832624,-121687863.36626768,0,-31322456.030477304,-90365407.33579038,0.0,0.0,0.0,-90365407.33579038,231277709.91253585,0.0,0.0,0.0,0.0,0.0,201682971.2848772,0.0,-0.0,0,201682971.2848772,0.0,0.0,0.0,-29296154.358148754,0.0,-29296154.358148754,298584.2695098929,14263683.615292909,3302367250.4518137,-2574183682.918939,728183567.5328746,-0.0,742447251.1481675,1960726823.5908568,1960726823.5908568,0.0,1346471857.919077,-2564751430.361766,-1399846688.8944943,-1218279572.442689,-1218279572.442689,0.07417460604268764,-1.6094227203198834,0.07417460604268764,-0.30237373232233317
9,2039,50842320.85762149,232409437.30942664,28357218.447769824,0.7309342965399221,512609817.1335404,7.086784656503921,1.0,198173.15270208023,0.0,5.563723286121834,72333200.73625928,402441913.2960508,0.007391608,21351698.62507799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,402441913.2960508,21351698.62507799,0.0,0.0,0.0,6210757.511810031,0.0,0.0,0.0,41275125.281676605,0.0,2001.0,42.888,32925985.047892097,6517706.148364854,108283316.50282156,294158596.7932292,90193433.88517942,314133066.7455394,-110167903.8374896,0,-28357218.447769824,-81810685.38971978,0.0,0.0,0.0,-81810685.38971978,232322381.35581964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0,0.0,0.0,0.0,0.0,-232409437.30942664,0.0,-232409437.30942664,-87055.95360697992,14176627.661685929,3302367250.4518137,-2888316749.6644783,414050500.7873354,-0.0,428227128.44902134,1960726823.5908568,1960726823.5908568,0.0,1346471857.919077,-2878971553.060912,-1481657374.284214,-1532499695.1418352,-1532499695.1418352,0.053383818377952814,-1.2794304819808715,0.053383818377952814,-0.27374858382716744
