,Hydrogen Hourly Production [kg/hr],Hourly Water Consumption [kg/hr]
0,16861.262913426195,168612.62913426198
1,15629.789067972697,156297.89067972696
2,15629.41909363777,156294.19093637768
3,13981.512354478256,139815.1235447826
4,9016.766795873154,90167.66795873149
5,13585.917799168668,135859.17799168668
6,7323.836827808085,73238.36827808083
7,6156.357717980047,61563.577179800486
8,9169.233920788567,91692.33920788571
9,14797.281762906327,147972.81762906327
10,14424.23911045711,144242.3911045711
11,15630.532048686742,156305.3204868674
12,15630.260559862796,156302.60559862797
13,15633.25234543088,156332.5234543088
14,15632.643115999279,156326.4311599928
15,15629.960602535104,156299.6060253511
16,15632.633143904446,156326.3314390444
17,15628.95641532631,156289.56415326308
18,15628.866138607267,156288.66138607264
19,15628.831796528022,156288.31796528015
20,15628.8019653751,156288.01965375093
21,15628.771379804395,156287.71379804402
22,15628.741336176548,156287.41336176536
23,15628.713351127935,156287.13351127942
24,15600.970070910724,156009.70070910722
25,15501.127567706895,155011.27567706886
26,15612.986908636269,156129.86908636274
27,15628.606820761155,156286.06820761148
28,15628.581499676377,156285.81499676374
29,15628.556227029052,156285.56227029057
30,15628.53081674269,156285.3081674269
31,15628.50273264982,156285.02732649818
32,15628.5537321719,156285.53732171902
33,15628.610040451123,156286.10040451126
34,15370.920791159866,153709.20791159858
35,15630.170473729833,156301.70473729834
36,14669.223724376658,146692.23724376655
37,9625.019256271482,96250.19256271477
38,7468.099854954226,74680.99854954227
39,7183.853583174996,71838.53583174995
40,7023.800470213513,70238.00470213516
41,10679.308768160045,106793.08768160047
42,14464.893267030375,144648.9326703038
43,15211.28428659693,152112.8428659693
44,15017.881201404942,150178.81201404938
45,15142.55817034875,151425.58170348752
46,15365.696821946014,153656.96821946016
47,14034.818350435706,140348.1835043571
48,15628.06264781052,156280.62647810517
49,15628.035396148185,156280.35396148186
50,15628.009567263489,156280.0956726349
51,15339.384222096054,153393.84222096056
52,14860.209309605681,148602.09309605687
53,15155.916638684968,151559.16638684968
54,14354.19347836971,143541.93478369716
55,15627.879017544758,156278.79017544747
56,15628.263693673152,156282.63693673152
57,15629.050492432165,156290.5049243217
58,15629.255804377743,156292.55804377745
59,15630.589213773223,156305.89213773224
60,15630.463296800632,156304.6329680063
61,15630.577588519724,156305.77588519728
62,15630.309406819026,156303.0940681902
63,15637.457864768348,156374.57864768355
64,15635.588774616981,156355.88774616973
65,15628.290589658136,156282.90589658136
66,15627.592648120331,156275.92648120335
67,15627.567094329945,156275.67094329945
68,15627.540505942527,156275.4050594253
69,15627.513965335353,156275.13965335354
70,15623.179823340082,156231.79823340083
71,14530.264060963302,145302.64060963303
72,11689.579116107576,116895.79116107577
73,8689.96590714677,86899.6590714677
74,10438.22251736883,104382.22517368833
75,11740.158261024102,117401.58261024102
76,10890.27255602596,108902.72556025961
77,14423.92227346548,144239.22273465482
78,15627.286176865027,156272.8617686503
79,15627.256566693923,156272.56566693922
80,15627.226125430869,156272.2612543087
81,15628.395171052227,156283.95171052226
82,15627.885691967356,156278.85691967362
83,15628.346586560028,156283.4658656003
84,15629.222725269326,156292.22725269332
85,15628.755544682534,156287.55544682534
86,15636.322224843016,156363.2222484302
87,15628.08820194641,156280.88201946407
88,15633.472839278413,156334.7283927841
89,15627.186531647572,156271.86531647574
90,15626.971992012925,156269.71992012922
91,15626.946252290507,156269.46252290503
92,15626.915829500014,156269.15829500018
93,15626.890045138045,156268.9004513805
94,14844.941393279625,148449.41393279622
95,14997.682430441395,149976.82430441395
96,15622.73353102057,156227.3353102057
97,13839.166345559019,138391.66345559017
98,15626.759559187045,156267.59559187046
99,15626.73790177982,156267.37901779823
100,15381.566875718177,153815.6687571818
101,14091.376676438713,140913.7667643872
102,13730.489290143501,137304.89290143503
103,15626.629626090731,156266.29626090731
104,15626.893372410143,156268.93372410143
105,14594.235036743641,145942.35036743642
106,15391.815620825133,153918.1562082513
107,14755.397161672661,147553.97161672663
108,13684.454796341639,136844.54796341638
109,14804.671767794742,148046.71767794748
110,13199.09804776196,131990.98047761963
111,13486.869283108179,134868.69283108177
112,11442.774520695326,114427.74520695326
113,10177.043209374779,101770.4320937478
114,8672.162210230706,86721.62210230705
115,7344.057876769258,73440.57876769257
116,7121.510262506432,71215.1026250643
117,6645.519083822055,66455.19083822053
118,8490.013891734621,84900.13891734621
119,7067.7158929775405,70677.15892977544
120,7562.637899524675,75626.37899524676
121,9969.223393924858,99692.23393924853
122,12507.880458292813,125078.80458292818
123,13702.562064775157,137025.62064775155
124,13938.31345010999,139383.13450109988
125,14165.108292674351,141651.08292674358
126,12241.949094278252,122419.49094278256
127,15626.01800071467,156260.18000714667
128,12854.557721902702,128545.57721902695
129,15635.833698529235,156358.3369852924
130,14611.309910547756,146113.09910547754
131,11707.710686958477,117077.10686958484
132,14017.013022976153,140170.13022976142
133,11987.571619384842,119875.71619384846
134,12687.90138521978,126879.0138521978
135,13778.640904481386,137786.4090448139
136,11553.069670704563,115530.69670704566
137,12186.905067630345,121869.0506763034
138,13016.775531331818,130167.7553133182
139,11622.265813728092,116222.65813728099
140,10224.299032279254,102242.99032279254
141,10323.907271486374,103239.07271486374
142,8164.679806742162,81646.79806742161
143,6119.909890538336,61199.098905383355
144,4592.588190312572,45925.88190312573
145,4383.658018905793,43836.58018905793
146,4953.147202378407,49531.47202378407
147,3909.4824753265298,39094.824753265275
148,2610.606865736237,26106.068657362364
149,2239.123525809234,22391.23525809233
150,1733.6683996280738,17336.683996280735
151,1384.668336142242,13846.683361422423
152,1069.7140515793687,10697.14051579369
153,1039.7398211049688,10397.398211049689
154,1413.748659939969,14137.48659939969
155,1233.0935884559615,12330.935884559614
156,1084.017729173901,10840.177291739012
157,1124.1620595243116,11241.620595243117
158,1956.9005821796577,19569.005821796578
159,3118.3139757659906,31183.139757659905
160,5133.084559506771,51330.84559506772
161,3813.080794316894,38130.807943168955
162,4112.658406105849,41126.58406105849
163,2999.040518682676,29990.405186826752
164,9916.344351730811,99163.44351730811
165,4928.174971413238,49281.749714132355
166,3006.4567980398942,30064.567980398937
167,1940.7698818333486,19407.69881833349
168,7365.5166656490965,73655.16665649098
169,9323.221968482756,93232.21968482758
170,8094.91076936567,80949.1076936567
171,4824.960673119638,48249.60673119638
172,5556.870994737343,55568.709947373434
173,5921.678979724716,59216.78979724715
174,8918.681474563258,89186.81474563258
175,7409.076879781089,74090.76879781089
176,11761.493905914851,117614.93905914846
177,15624.313728112844,156243.1372811284
178,15425.732601478525,154257.32601478527
179,15626.249540453515,156262.49540453512
180,15625.64052201432,156256.4052201432
181,15626.0487192908,156260.48719290795
182,15625.10681053477,156251.06810534766
183,15625.328727861302,156253.28727861302
184,15624.443103080937,156244.43103080936
185,15623.795006934624,156237.95006934623
186,15623.679159091766,156236.79159091762
187,15623.678471745856,156236.78471745853
188,15623.630719386916,156236.3071938691
189,8007.6119161862425,80076.11916186241
190,15623.580751833455,156235.80751833448
191,15623.552295901822,156235.52295901824
192,15623.496807697049,156234.9680769705
193,15623.47445526187,156234.74455261865
194,15623.414529037966,156234.1452903796
195,15623.449724859334,156234.49724859334
196,15623.468763443821,156234.68763443825
197,15623.332134144337,156233.32134144343
198,6210.244778857706,62102.44778857705
199,3153.153218112224,31531.532181122257
200,125.94314911339617,1259.4314911339618
201,1667.0888507844338,16670.888507844345
202,11665.392021358175,116653.92021358178
203,15625.127373234442,156251.27373234445
204,11843.248255992727,118432.48255992727
205,7906.986540200916,79069.86540200916
206,1118.7911740921124,11187.91174092112
207,1276.9693161592209,12769.693161592208
208,107.74121145070816,1077.4121145070817
209,-0.0,-0.0
210,-0.0,-0.0
211,389.14372670816704,3891.43726708167
212,554.357452195384,5543.574521953839
