,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Wind,-51140759.99999999,1465760.2352193051,2924075.524405487,1391433.2729762122,412635.0111187543,441694.20452850126,-304045.9092682961,-1049910.7758221067,-1021952.1949643239,-1065561.9960343062,-1039483.6786168336,-2429006.702442093,-2475613.7024503383,-2523120.5043573133,-2571767.8442853778,-2621362.8695588866,-2689446.2277615555,-2758581.785835592,-2811551.112609912,-2865679.632508514,-2920994.6749590547,-2987699.968841877,-3055648.4608302624,-3114693.797746615,-3175041.809339833,-3236723.327889377
Solar,-38675000.0,9568119.492627911,1488521.336701503,441488.0636490808,-194373.37420139078,-213431.4505019586,-695472.031167138,-1177284.8901807638,-1196208.906817602,-1215422.9567723856,-1235083.5778022637,-1255034.545548198,-1275448.1578241708,-1296168.5686126198,-1317368.463292589,-1338892.3928634082,-1373995.5582192638,-1409481.860085125,-1432319.5827995334,-1455600.407664862,-1479334.133825715,-1511226.150746219,-1543591.369512047,-1568744.944898086,-1594392.9975802582,-1620546.545870082
