lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,generation,battery_MWh,biomass_MWh,beccs_MWh,canada_MWh,coal_MWh,coal-ccs_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-cc-ccs_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
176.2,7.0,0.9,17.5,1125.7,0.08,176.7,51.1,227.7,15325.8,0.0,18.1,0.0,0.0,202.0,0.0,0.0,0.0,288.0,0.0,0.0,0.0,85.2,0.0,0.0,0.0,0.0,14732.6,0.0
149.6,3.5,0.38,17.1,1092.7,0.07,149.8,49.7,199.5,14848.0,0.0,18.1,0.0,0.0,408.8,0.0,0.0,0.0,288.0,0.0,0.0,0.0,85.2,0.0,0.0,0.0,0.0,14047.9,0.0
124.3,3.6,0.42,13.6,870.5,0.05,124.5,39.5,164.1,14180.4,0.0,18.1,0.0,0.0,408.8,0.0,0.0,0.0,288.0,0.0,0.0,0.0,85.2,0.0,0.0,0.0,0.0,13380.3,0.0
185.2,4.6,0.52,20.9,1335.4,0.08,185.5,60.7,246.2,14578.6,1.6,18.1,0.0,0.0,408.8,0.0,0.0,0.0,288.0,0.0,0.0,0.0,441.6,0.0,0.0,0.0,0.0,13420.5,0.0
164.2,4.0,0.44,18.6,1190.6,0.07,164.4,54.1,218.5,13660.7,199.7,18.1,0.0,0.0,408.8,0.0,0.0,0.0,288.0,0.0,0.0,0.0,85.2,0.0,0.0,0.0,0.0,12660.9,0.0
173.8,4.9,0.58,19.0,1219.7,0.08,174.1,55.4,229.5,13642.1,187.6,18.1,0.0,0.0,408.8,0.0,0.0,0.0,288.0,0.0,0.0,0.0,85.2,0.0,0.0,0.0,0.0,12654.4,0.0
72.9,3.2,0.42,7.0,447.8,0.03,73.1,20.3,93.4,13107.5,66.3,18.1,0.0,0.0,408.8,0.0,0.0,0.0,288.0,0.0,0.0,0.0,171.1,0.0,0.0,0.0,0.0,12155.1,0.0
78.1,2.7,0.34,8.1,521.1,0.03,78.3,23.7,101.9,14193.5,4.9,18.1,0.0,0.0,408.8,0.0,0.0,143.5,288.0,0.0,0.0,0.0,278.9,0.0,0.0,0.0,739.7,12311.6,0.0
23.8,0.9,0.11,2.4,155.7,0.01,23.9,7.1,30.9,14009.8,0.0,18.1,0.0,0.0,202.0,0.0,0.0,630.5,288.0,0.0,0.0,0.0,85.2,0.0,0.0,0.0,1494.8,11291.2,0.0
69.0,1.8,0.21,7.7,493.4,0.03,69.1,22.4,91.5,13793.0,0.0,18.1,0.0,0.0,202.0,0.0,0.0,895.1,288.0,0.0,0.0,0.0,326.0,0.0,0.0,217.3,2163.7,9682.9,0.0
98.1,2.5,0.28,11.0,706.8,0.04,98.3,32.1,130.4,13191.6,0.0,18.1,0.0,0.0,202.0,0.0,0.0,774.6,288.0,0.0,0.0,0.0,326.0,0.0,0.0,0.0,2268.3,9314.8,0.0
85.1,2.3,0.27,9.4,604.0,0.04,85.3,27.4,112.7,12974.6,0.0,18.1,0.0,0.0,202.0,0.0,0.0,678.3,288.0,0.0,0.0,0.0,326.0,0.0,0.0,149.9,2445.3,8867.1,0.0
101.0,2.5,0.29,11.4,727.2,0.04,101.2,33.0,134.2,12854.9,0.0,18.1,0.0,0.0,202.0,0.0,0.0,752.6,288.0,0.0,0.0,0.0,326.0,0.0,0.0,217.3,2847.7,8203.3,0.0
