lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,generation,battery_MWh,biomass_MWh,beccs_MWh,canada_MWh,coal_MWh,coal-ccs_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-cc-ccs_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
163.6,6.0,0.76,16.7,1306.6,0.07,164.0,55.6,219.7,12231.9,0.0,22.1,0.0,0.0,4018.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.2,0.0,0.0,0.0,0.0,8105.8,0.0
258.2,15.3,2.1,21.2,1628.1,0.12,259.2,69.7,328.9,11325.6,0.0,22.1,0.0,0.0,4018.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.2,0.0,0.0,0.0,0.0,7199.4,0.0
302.5,18.8,2.59,23.9,1847.7,0.14,303.7,79.0,382.7,11290.6,29.2,22.1,0.0,0.0,4018.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.2,0.0,0.0,304.4,0.0,6830.8,0.0
327.4,20.7,2.86,25.5,1977.8,0.15,328.8,84.5,413.3,10858.5,85.4,22.1,0.0,0.0,4018.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.2,0.0,0.0,0.0,0.0,6646.9,0.0
340.6,21.6,2.98,26.5,2052.0,0.16,342.0,87.7,429.7,10260.6,0.0,22.1,0.0,0.0,4018.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.2,0.0,0.0,0.0,0.0,6134.5,0.0
322.3,19.8,2.74,25.7,1977.8,0.15,323.7,84.6,408.3,10218.0,121.3,22.1,0.0,0.0,4018.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.2,0.0,0.0,72.3,0.0,5898.3,0.0
373.9,23.9,3.3,28.9,2239.6,0.17,375.5,95.7,471.2,10538.3,224.0,22.1,0.0,0.0,4018.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.6,0.0,0.0,479.5,0.0,5660.2,0.0
308.8,19.3,2.66,24.3,1881.5,0.14,310.1,80.4,390.5,10434.3,0.0,22.1,0.0,0.0,4018.9,0.0,0.0,81.6,0.0,0.0,0.0,0.0,85.2,0.0,0.0,0.0,739.7,5486.8,0.0
50.6,1.3,0.16,5.7,437.8,0.02,50.7,18.7,69.4,10311.2,0.0,22.1,0.0,0.0,3470.4,0.0,0.0,356.3,0.0,0.0,0.0,0.0,85.2,0.0,0.0,0.0,1494.8,4882.4,0.0
64.0,1.6,0.18,7.3,565.7,0.03,64.1,24.1,88.3,9538.2,0.0,22.1,0.0,0.0,2452.5,0.0,0.0,507.1,0.0,0.0,0.0,0.0,85.2,0.0,0.0,0.0,2163.7,4307.6,0.0
