Bus2001,Bus2002,Bus2003,Bus2004,Bus2005,Bus2006,Bus2007,Bus2008,Bus2009,Bus2010,Bus2011,Bus2012,Bus2013,Bus2014,Bus2015,Bus2016,Bus2017,Bus2018,Bus2019,Bus2020,Bus2021,Bus2022,Bus2023,Bus2024,Bus2025,Bus2026,Bus2027,Bus2028,Bus2029,Bus2030,Bus2031,Bus2032,Bus2033,Bus2034,Bus2035,Bus2036,Bus2037,Bus2038,Bus2039,Bus2040,Bus2041,Bus2042,Bus2043,Bus2044,Bus2045,Bus2046,Bus2047,Bus2048,Bus2049,Bus2050,Bus2051,Bus2052,Bus2053,Bus2054,Bus2055,Bus2056,Bus2057,Bus2058,Bus2059,Bus2060
0.0,27.94,14.286,0.0,8.947,0.0,0.0,2.067,1.246,2.29,5.368,0.0,0.0,2.816,1.49,1.64,5.125,2.809,0.0,3.086,0.0,2.728,0.728,2.549,2.701,0.0,0.0,0.0,9.427,5.331,3.279,2.217,0.0,3.621,3.931,0.0,3.941,0.0,0.0,81.76,1.919,4.223,6.509,0.0,2.175,6.621,5.512,3.764,3.538,3.747,5.778,40.029,4.28,7.159,4.26,4.723,0.0,31.48,2.635,1.946
0.0,28.26,14.072,0.0,8.096,0.0,0.0,1.933,1.013,1.964,5.453,0.0,0.0,3.353,1.426,1.589,5.0,2.556,0.0,3.326,0.0,2.176,0.687,2.115,3.491,0.0,0.0,0.239,8.989,4.906,5.173,1.647,0.0,3.726,4.221,0.0,3.468,0.0,0.0,79.48,2.113,4.084,6.168,0.0,2.171,5.36,4.764,3.334,3.314,2.229,5.809,39.382,4.08,5.031,3.477,4.629,0.0,32.8,2.415,1.869
0.0,27.62,14.341,0.0,8.168,0.0,0.0,2.166,0.704,1.635,5.311,0.0,0.0,2.998,1.143,1.5,3.522,4.245,0.0,3.025,0.0,1.916,0.755,2.3,4.084,0.0,0.0,0.478,9.025,4.862,3.441,1.66,0.0,3.126,4.078,0.0,3.466,0.0,0.0,69.56,2.034,4.295,5.99,0.0,2.2,5.219,5.807,3.341,4.239,2.31,5.305,38.189,4.04,5.196,3.576,4.433,0.0,32.48,2.348,1.813
0.0,27.86,12.743,0.0,7.789,0.0,0.0,1.802,0.639,1.85,5.821,0.0,0.0,3.595,1.098,1.649,4.053,2.742,0.0,3.192,0.0,1.966,0.66,2.301,2.108,0.0,0.0,0.3365,9.056,4.99,4.569,1.401,0.0,2.807,4.4,0.0,3.477,0.0,0.0,84.24,1.821,4.235,5.775,0.0,2.522,5.427,4.747,3.289,3.364,2.563,5.036,38.904,4.48,5.782,3.441,4.564,0.0,33.24,2.609,1.841
0.0,27.86,12.444,0.0,7.871,0.0,0.0,1.913,0.733,2.003,5.246,0.0,0.0,3.615,1.145,1.789,3.014,3.062,0.0,3.09,0.0,2.168,0.74,2.393,2.288,0.0,0.0,0.26575,9.029,4.89,3.729,1.376,0.0,2.965,4.379,0.0,3.562,0.0,0.0,87.84,1.853,3.98,5.889,0.0,2.201,5.284,5.361,3.502,3.68,2.118,5.393,38.223,4.68,5.347,3.226,4.951,0.0,32.16,2.264,2.507
0.0,27.58,14.946,0.0,8.591,0.0,0.0,1.975,2.74,2.163,5.375,0.0,0.0,2.941,1.086,1.616,3.565,3.15,0.0,3.293,0.0,1.943,0.68,2.352,3.127,0.0,0.0,0.230375,9.784,5.026,4.591,1.308,0.0,2.607,4.664,0.0,3.514,0.0,0.0,93.44,2.415,4.383,5.842,0.0,2.159,5.516,5.097,3.947,3.012,2.129,5.418,37.736,4.24,4.759,3.161,4.539,0.0,32.12,2.631,1.829
0.0,28.82,16.437,0.0,7.763,0.0,0.0,2.05,1.532,2.173,5.902,0.0,0.0,2.651,1.064,2.174,4.003,3.267,0.0,3.955,0.0,2.223,0.714,2.908,2.647,0.0,0.0,0.195,10.083,4.985,4.738,1.238,0.0,3.178,4.297,0.0,3.293,0.0,0.0,91.2,1.85,4.322,6.125,0.0,2.314,6.291,5.669,3.888,3.711,3.103,6.538,39.154,6.4,5.982,3.052,6.153,0.0,31.04,2.486,1.82
0.0,27.84,12.832,0.0,7.296,0.0,0.0,2.484,0.6,2.065,5.895,0.0,0.0,2.996,1.18,2.856,4.58,4.259,0.0,3.47,0.0,2.946,0.61,2.903,3.678,0.0,0.0,0.356,8.856,5.003,3.622,0.96,0.0,2.835,5.075,0.0,3.248,0.0,0.0,93.28,1.907,3.733,6.836,0.0,2.268,7.811,6.41,4.176,2.993,3.31,5.985,36.931,6.28,6.989,3.288,6.686,0.0,31.72,2.641,1.837
0.0,25.14,9.363,0.0,7.171,0.0,0.0,1.996,0.627,2.047,4.567,0.0,0.0,3.116,1.112,4.324,3.99,3.78,0.0,2.68,0.0,4.235,0.653,2.414,3.428,0.0,0.0,0.517,5.685,3.994,3.897,0.724,0.0,2.045,3.303,0.0,3.0,0.0,0.0,83.44,1.879,3.359,7.615,0.0,3.075,14.604,8.593,4.28,4.514,3.577,5.35,38.249,3.64,4.841,4.418,7.316,0.0,38.0,2.053,1.815
0.0,24.5,8.375,0.0,6.885,0.0,0.0,1.742,0.885,1.921,4.179,0.0,0.0,3.394,1.043,4.427,4.168,3.752,0.0,2.46,0.0,3.929,0.328,1.772,7.293,0.0,0.0,0.632,5.177,3.476,4.964,0.924,0.0,1.991,7.265,0.0,4.398,0.0,0.0,77.8,2.018,3.052,7.214,0.0,2.706,13.381,10.187,4.911,4.017,2.578,5.462,36.334,3.36,5.923,4.954,7.916,0.0,37.2,1.981,1.838
