Bus4001,Bus4002,Bus4003,Bus4004,Bus4005,Bus4006,Bus4007,Bus4008,Bus4009,Bus4010,Bus4011,Bus4012,Bus4013,Bus4014,Bus4015,Bus4016,Bus4017,Bus4018,Bus4019,Bus4020,Bus4021,Bus4022,Bus4023,Bus4024,Bus4025,Bus4026,Bus4027,Bus4028,Bus4029,Bus4030,Bus4031,Bus4032,Bus4033,Bus4034,Bus4035,Bus4036,Bus4037,Bus4038,Bus4039,Bus4040,Bus4041,Bus4042,Bus4043,Bus4044,Bus4045,Bus4046,Bus4047,Bus4048
0.0,0.0,0.0,3.23,0.692,0.336,0.55,13.0,0.0,7.233,15.358,10.314,12.998000000000001,0.9520000000000001,0.0,0.015,0.0,0.0,1.4180000000000001,0.025,2.42,1.123,0.0,1.123,0.0,6.616,0.0,3.385,0.0,0.899,0.0,17.0825,6.1690000000000005,1.707,11.799999999999999,0.0,15.363,1.123,0.057,0.033,0.0,1.962,1.929,1.1575,15.000000000000002,-115.0,-115.0,-115.0
0.0,0.0,0.0,3.452,1.25,0.298,0.48,10.0,0.0,6.73,15.343,10.3,13.207,1.015,0.0,0.015,0.0,0.0,2.093,0.025,2.449,1.098,0.0,1.098,0.0,6.597999999999999,0.0,3.271,0.0,0.926,0.0,16.91,6.145,1.1,12.6,0.0,16.153,1.098,0.057,0.037,0.0,1.966,1.929,1.275,12.1,-118.66666666666667,-118.66666666666667,-118.66666666666667
0.0,0.0,0.0,3.12,0.693,0.335,1.888,12.0,0.0,5.254,15.294,10.252,13.052,1.0190000000000001,0.0,0.015,0.0,0.0,2.186,0.025,2.667,1.112,0.0,1.112,0.0,6.824,0.0,3.639,0.0,0.897,0.0,16.9225,5.857,1.937,7.1000000000000005,0.0,10.609,1.112,0.056,0.036,0.0,2.2,2.164,1.165,11.6,-129.0,-129.0,-129.0
0.0,0.0,0.0,3.422,0.656,0.388,1.615,9.500000000000002,0.0,7.388,14.945,10.267,12.861,0.89,0.0,0.015,0.0,0.0,2.367,0.024,2.57,1.089,0.0,1.089,0.0,6.755,0.0,0.351,0.0,0.853,0.0,16.985,6.679,1.652,5.300000000000001,0.0,8.978000000000002,1.089,0.06,0.033,0.0,2.162,2.129,1.0224999999999997,13.8,-131.66666666666666,-131.66666666666666,-131.66666666666666
0.0,0.0,0.0,3.444,0.68,0.705,0.899,11.000000000000002,0.0,5.4,14.729,10.101,13.058,0.9790000000000001,0.0,0.015,0.0,0.0,2.252,0.025,2.495,1.15,0.0,1.15,0.0,7.019,0.0,1.569,0.0,0.933,0.0,16.9175,6.414999999999999,1.387,10.7,0.0,14.143999999999998,1.15,0.053,0.036,0.0,2.079,2.043,0.605,11.4,-84.66666666666667,-84.66666666666667,-84.66666666666667
0.0,0.0,0.0,3.102,0.673,0.413,0.71,10.499999999999998,0.0,6.662,15.105,10.326,12.831,1.179,0.0,0.014,0.0,0.0,2.1719999999999997,0.024,2.59,1.267,0.0,1.267,0.0,7.287,0.0,1.624,0.0,0.804,0.0,16.904999999999998,5.68,1.438,5.499999999999999,0.0,8.951999999999998,1.267,0.054,0.035,0.0,1.909,1.874,0.6725000000000001,12.9,-121.66666666666667,-121.66666666666667,-121.66666666666667
0.0,0.0,0.0,3.447,0.716,0.369,0.665,11.500000000000002,0.0,6.866,15.28,10.224,12.835999999999999,1.422,0.0,0.015,0.0,0.0,2.5869999999999997,0.025,3.4690000000000003,1.166,0.0,1.166,0.0,7.493,0.0,1.191,0.0,0.899,0.0,16.9875,6.429,1.737,5.4,0.0,8.862,1.166,0.06,0.034,0.0,2.5469999999999997,2.513,0.8425,12.2,-116.0,-116.0,-116.0
0.0,0.0,0.0,3.248,0.689,1.485,1.774,10.5,0.0,6.201,15.257,10.179,12.353,1.4340000000000002,0.0,0.015,0.0,0.0,2.6479999999999997,0.024,5.008,1.189,0.0,1.189,0.0,7.91,0.0,1.261,0.0,0.788,0.0,16.98,5.806,1.338,4.300000000000001,0.0,7.986000000000001,1.189,0.074,0.036,0.0,2.1590000000000003,2.123,0.9799999999999999,13.3,-132.66666666666666,-132.66666666666666,-132.66666666666666
0.0,0.0,0.0,3.818,0.638,2.156,4.176,10.0,0.0,6.257,14.677,10.064,10.325,0.991,0.0,0.023,0.0,0.0,2.504,0.025,4.662,0.785,0.0,0.785,0.0,7.938,0.0,1.019,0.0,0.716,0.0,17.017500000000002,5.9719999999999995,1.795,10.7,0.0,14.475999999999999,0.785,0.056,0.032,0.0,2.314,2.282,0.9575,11.200000000000001,-161.66666666666666,-161.66666666666666,-161.66666666666666
0.0,0.0,0.0,3.204,0.59,3.068,2.774,10.0,0.0,7.275,14.754000000000001,9.553,10.126000000000001,0.984,0.0,0.025,0.0,0.0,2.125,0.024,5.407,0.816,0.0,0.816,0.0,9.924,0.0,0.953,0.0,0.566,0.0,17.222499999999997,5.227,0.99,12.7,0.0,18.012,0.816,0.057,0.036,0.0,2.434,2.398,0.61,11.799999999999999,-188.0,-188.0,-188.0
