Bus6001,Bus6002,Bus6003,Bus6004,Bus6005,Bus6006,Bus6007,Bus6008,Bus6009,Bus6010,Bus6011,Bus6012,Bus6013,Bus6014,Bus6015,Bus6016,Bus6017
0.0,0.0,15.29,6.892,4.916,5.04,4.163,14.096,17.081,7.136,3.125,3.083,1.537,0.458,0.793,3.083,2.131
0.0,0.0,14.901,6.672,5.335,4.76,3.07,14.937,12.786,7.078,2.758,2.032,2.378,0.336,0.836,2.032,1.914
0.0,0.0,15.772,7.013,4.563,5.04,3.507,14.789,10.209,5.991,3.096,1.597,1.615,0.326,0.803,1.597,2.446
0.0,0.0,15.757,6.452,4.782,4.8,3.143,14.761,10.04,7.03,3.317,1.228,1.536,0.422,0.778,1.228,6.041
0.0,0.0,15.292,6.356,4.482,5.0,3.147,15.156,10.147,6.043,2.832,1.162,1.773,0.404,0.874,1.162,4.88
0.0,0.0,15.814,6.861,4.963,4.36,3.336,11.145,9.678,6.075,4.433,1.798,1.646,0.35,0.817,1.798,3.656
0.0,0.0,16.044,8.422,4.7,5.24,3.32,9.623,9.327,5.706,4.331,1.05,1.588,0.415,0.854,1.05,2.005
0.0,0.0,15.337,8.201,4.664,4.12,3.572,9.393,9.53,5.809,7.248,1.67,1.715,0.828,1.01,1.67,2.381
0.0,0.0,13.618,9.976,4.246,4.04,3.4,9.564,10.335,5.836,5.184,3.455,1.265,0.485,1.226,3.455,2.542
0.0,0.0,14.196,15.279,5.065,3.96,6.25,8.479,10.192,6.409,4.545,5.837,4.116,0.48,1.04,5.837,2.521
0.0,0.0,15.643,14.595,5.716,4.08,8.057,9.411,8.866,6.458,4.03,5.943,8.294,0.787,1.059,5.943,2.458
0.0,0.0,17.361,14.934,5.006,8.24,5.713,8.892,8.656,6.363,3.601,7.085,8.987,0.991,1.379,7.085,5.329
0.0,0.0,17.223,10.372,4.37,12.4,5.538,8.847,8.507,5.682,3.239,6.07,6.564,0.595,4.147,6.07,7.911
0.0,0.0,15.831,9.366,4.454,12.2,9.063,10.201,7.948,8.957,3.183,8.255,6.329,1.109,1.459,8.255,2.835
0.0,0.0,15.015,8.672,4.486,3.84,9.102,10.727,7.627,6.855,3.609,6.677,6.026,1.535,1.002,6.677,3.554
0.0,0.0,13.021,6.983,6.46,4.72,6.963,12.019,7.041,10.261,3.53,4.675,6.147,3.171,1.016,4.675,5.608
