,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Wind,-36184500.00000001,1069560.3539678524,2098905.0223620865,1030693.6302710185,335615.61115355,372331.265567007,-157898.01527906605,-688241.3943244335,-652381.9669820087,-685899.1989120655,-651423.1079683022,-1992824.7036243756,-2028543.2334321935,-2064925.834315434,-2102143.1126240306,-2140058.8929229043,-2191084.2904656334,-2242882.701150776,-2283271.5580556546,-2324509.704371473,-2366616.768013387,-2416812.6624387316,-2467918.165690454,-2512754.5541690923,-2558543.2367030606,-2605306.3344871756
Solar,-11050000.0,2733743.4771495545,425286.81167742494,126134.3979600743,-55540.34905659995,-60985.56470675283,-198711.49639958036,-336372.3652784202,-341779.27971264167,-347269.0613345131,-352886.4352227595,-358586.7658515333,-364419.281173046,-370339.45375912136,-376396.62229495344,-382546.37278587243,-392575.9054929374,-402714.9063432006,-409240.02801050607,-415891.7508727064,-422672.87469120603,-431784.9393187602,-441032.2050714808,-448219.0018910294,-455547.0785479945,-463019.5831374804
