Wind Speed [m/s],Power [kW],Cp [-]
1.06,-4.92,-1.77
1.5,-5.22,-0.66
1.97,-5.78,-0.32
2.49,-5.74,-0.16
3.01,0.38,0.01
3.6,7.91,0.07
4.02,41.48,0.27
4.49,72.51,0.34
5.01,120.45,0.41
5.54,186.64,0.47
6.03,245.79,0.48
6.49,316.77,0.5
7.01,407.67,0.51
7.53,516,0.52
8.02,605.6,0.5
8.51,725.58,0.51
8.99,831.26,0.49
9.48,961.48,0.48
9.98,1030.57,0.45
10.48,1167.87,0.44
10.98,1227.96,0.4
11.54,1291.73,0.36
12.02,1358.14,0.34
12.47,1403.64,0.31
13.01,1407.81,0.27
13.51,1459.32,0.25
13.96,1451.06,0.23
14.51,1479.57,0.21
14.95,1482.17,0.19
15.42,1493.91,0.17
16.02,1500.6,0.16
16.44,1489.06,0.14
16.99,1499.79,0.13
17.5,1504.21,0.12
18.07,1506.73,0.11
18.55,1507.27,0.1
19,1504.36,0.09
19.54,1500.59,0.09
19.9,1512.63,0.08
20.48,1501.23,0.08
20.98,1495.36,0.07
21.55,1514.39,0.06
22.02,1506.4,0.06
22.5,1503.5,0.06
22.95,1499.1,0.05
