,2020,2022,2025,2030,2035
CAPEX,4.70%,6.52%,15%,21.10%,24.40%
OPEX,0.08%,4.13%,4.50%,8.25%,12%
Net CF,0.69%,2.06%,4.13%,7.56%,11%
