Site Name,Lat,Lon,ATB Year,Plant life,Policy,Turbine size (MW),Wind Plant size (MW),Wind Plant Size Adjusted for Turbine Rating(MW),Electrolyzer size (MW),Load Profile (kW),Energy to Electrolyzer (kW),Wind capacity factor (%),Electrolyzer capacity factor (%),LCOH ($/kg),LCOH: Compression & storage ($/kg),LCOH: Electrolyzer CAPEX ($/kg),LCOH: Desalination CAPEX ($/kg),LCOH: Electrolyzer FOM ($/kg),LCOH: Electrolyzer VOM ($/kg),LCOH: Desalination FOM ($/kg),LCOH: Renewable plant ($/kg),LCOH: Renewable FOM ($/kg),LCOH: Taxes ($/kg),LCOH: Water consumption ($/kg),LCOH: Finances ($/kg),LCOH: total ($/kg)
"39.98013616,-123.8237296",39.98013616,-123.8237296,2025,25,No Policy,7,100,98,100,100000,294154213,34.26453883,0.335792481,3.248486379,0.044507351,0.816744123,0.001873197,0.17219271,0.122975992,0.003249672,1.329877359,0.591912442,0.124631408,0.018121372,0.022400752,3.248486379
"40.50099527,-123.8237296",40.50099527,-123.8237296,2025,25,No Policy,7,100,98,100,100000,195281911.6,22.74740373,0.222924557,4.800394232,0.067029947,1.230051088,0.002821114,0.259374823,0.102386785,0.004894999,2.002851378,0.891600953,0.187519398,0.018121372,0.033742375,4.800394232
"41.02185437,-123.8237296",41.02185437,-123.8237296,2025,25,No Policy,7,100,98,100,100000,177513425.9,20.67764257,0.202640897,5.262543503,0.073737098,1.353132462,0.0031034,0.285337354,0.096251911,0.005384972,2.203260695,0.980847153,0.206247216,0.018121372,0.037119871,5.262543503
"41.54271347,-123.8237296",41.54271347,-123.8237296,2025,25,No Policy,7,100,98,100,100000,94432608.98,10.99997775,0.107799782,9.74581111,0.138591703,2.543264367,0.00583296,0.536374159,0.051463352,0.010122613,4.141112991,1.84378617,0.387363879,0.018121372,0.069777543,9.74581111
"42.06357257,-123.8237296",42.06357257,-123.8237296,2025,25,No Policy,7,100,98,100,100000,322414894.8,37.55648295,0.368053533,2.979818713,0.040608171,0.745191166,0.001709091,0.157099477,0.126543796,0.002964828,1.213370052,0.54002945,0.113744055,0.018121372,0.020437255,2.979818713
"42.58443167,-123.8237296",42.58443167,-123.8237296,2025,25,No Policy,7,100,98,100,100000,299241508.1,34.85713216,0.341599895,3.196377028,0.043751091,0.802866178,0.001841368,0.169265325,0.123667659,0.003194426,1.307280361,0.581849555,0.122519768,0.018121372,0.022019925,3.196377028
"43.10529078,-123.8237296",43.10529078,-123.8237296,2025,25,No Policy,7,100,98,100,100000,193711134.5,22.56443184,0.221131432,4.837837287,0.067573296,1.240021969,0.002843982,0.261478058,0.10189392,0.004934692,2.019086632,0.898830823,0.189036556,0.018121372,0.034015987,4.837837287
"43.62614988,-123.8237296",43.62614988,-123.8237296,2025,25,No Policy,7,100,98,100,100000,156713710.4,18.25478874,0.17889693,5.936683249,0.08352073,1.532669637,0.003515168,0.323208551,0.087311757,0.006099688,2.495595122,1.111029393,0.233565253,0.018121372,0.042046579,5.936683249
"44.14700898,-123.8237296",44.14700898,-123.8237296,2025,25,No Policy,7,100,98,100,100000,221229188.6,25.769871,0.252544736,4.258880553,0.059170931,1.085832094,0.002490349,0.228953564,0.109578945,0.00432088,1.768024375,0.787027876,0.16557533,0.018121372,0.029784838,4.258880553
"44.66786808,-123.8237296",44.66786808,-123.8237296,2025,25,No Policy,7,100,98,100,100000,188417009.7,21.94774598,0.215087911,4.968614946,0.069471314,1.274852053,0.002923865,0.268825045,0.100154563,0.005073346,2.075799303,0.924086093,0.194336226,0.018121372,0.034971765,4.968614946
"45.18872718,-123.8237296",45.18872718,-123.8237296,2025,25,No Policy,7,100,98,100,100000,238823708.2,27.81936775,0.272629804,3.958629325,0.05481342,1.005868426,0.002306953,0.212086193,0.113563175,0.004002554,1.637822186,0.72904629,0.153408214,0.018121372,0.027590542,3.958629325
"45.70958629,-123.8237296",45.70958629,-123.8237296,2025,25,No Policy,7,100,98,100,100000,203972497.2,23.75972617,0.232845316,4.603679563,0.064175012,1.177660832,0.002700957,0.248323729,0.104999811,0.004686439,1.917546061,0.85361282,0.179547804,0.018121372,0.032304725,4.603679563
"46.75130449,-123.8237296",46.75130449,-123.8237296,2025,25,No Policy,7,100,98,100,100000,268875768.8,31.31998053,0.306935809,3.536667165,0.048689549,0.893490678,0.002049215,0.188381465,0.119161384,0.003555191,1.454841227,0.647561285,0.136309033,0.018121372,0.024506766,3.536667165
"47.27216359,-123.8237296",47.27216359,-123.8237296,2025,25,No Policy,7,100,98,100,100000,203830705.2,23.74320953,0.232683453,4.606752671,0.064219638,1.178479755,0.002702835,0.248496472,0.104957183,0.004689699,1.918879488,0.854206623,0.179672407,0.018121372,0.032327197,4.606752671
"47.79302269,-123.8237296",47.79302269,-123.8237296,2025,25,No Policy,7,100,98,100,100000,170152101.3,19.82015904,0.194237559,5.482276128,0.076926198,1.411654903,0.003237621,0.297681961,0.093325894,0.005617943,2.298550844,1.023281741,0.215151856,0.018121372,0.038725795,5.482276128
"38.93841796,-123.148042",38.93841796,-123.148042,2025,25,No Policy,7,100,98,100,100000,206545566.2,24.05944999,0.23578261,4.548611626,0.063375831,1.162995254,0.002667322,0.245230203,0.105729573,0.004628057,1.893666588,0.842978824,0.177316317,0.018121372,0.031902285,4.548611626
