Index,Nameplate kg/d,Technology,Year,Nameplate Capacity [kg/yr],Maximum Utilization [kg/kg],Production?,Lifetime [yr],Scaling Exponent,Capital Cost [$],Capital Cost [$/km],Capital Cost [$/km2],Capital recovery factor,Fixed Operating Cost [fraction of OvernightCapCost/y],Fixed Operating Cost [fraction of OvernightCapCost/km-y],Variable Operating Cost [$/kg],Variable Operating Cost [$/km/kg],Storage [kg]
428,27.39726027,GH2 Pipeline Compressor,2015,10000,1,No,15,0.036247552,141968.8111,0,0,0.10075006,0.06855611,0,0,0,0
429,30.1369863,GH2 Pipeline Compressor,2015,11000,1,No,15,0.038895859,142460.1276,0,0,0.10075006,0.068945227,0,0,0,0
430,33.15068493,GH2 Pipeline Compressor,2015,12100,1,No,15,0.041723315,142989.2318,0,0,0.10075006,0.069343173,0,0,0,0
431,36.46575342,GH2 Pipeline Compressor,2015,13310,1,No,15,0.044740676,143558.983,0,0,0.10075006,0.069749972,0,0,0,0
432,40.11232877,GH2 Pipeline Compressor,2015,14641,1,No,15,0.047959148,144172.4603,0,0,0.10075006,0.07016562,0,0,0,0
433,44.12356164,GH2 Pipeline Compressor,2015,16105.1,1,No,15,0.051390368,144832.9803,0,0,0.10075006,0.070590086,0,0,0,0
434,48.53591781,GH2 Pipeline Compressor,2015,17715.61,1,No,15,0.055046383,145544.1161,0,0,0.10075006,0.071023308,0,0,0,0
435,53.38950959,GH2 Pipeline Compressor,2015,19487.171,1,No,15,0.058939624,146309.7171,0,0,0.10075006,0.071465189,0,0,0,0
436,58.72846055,GH2 Pipeline Compressor,2015,21435.8881,1,No,15,0.063082863,147133.9315,0,0,0.10075006,0.071915594,0,0,0,0
437,64.6013066,GH2 Pipeline Compressor,2015,23579.47691,1,No,15,0.067489172,148021.2301,0,0,0.10075006,0.072374344,0,0,0,0
438,71.06143726,GH2 Pipeline Compressor,2015,25937.4246,1,No,15,0.072171862,148976.4314,0,0,0.10075006,0.072841218,0,0,0,0
439,78.16758099,GH2 Pipeline Compressor,2015,28531.16706,1,No,15,0.077144415,150004.7302,0,0,0.10075006,0.073315941,0,0,0,0
440,85.9843391,GH2 Pipeline Compressor,2015,31384.28377,1,No,15,0.082420405,151111.7268,0,0,0.10075006,0.073798186,0,0,0,0
441,94.58277299,GH2 Pipeline Compressor,2015,34522.71214,1,No,15,0.088013403,152303.4603,0,0,0.10075006,0.074287568,0,0,0,0
442,104.0410503,GH2 Pipeline Compressor,2015,37974.98336,1,No,15,0.09393687,153586.4427,0,0,0.10075006,0.07478364,0,0,0,0
