Wind Speed [m/s],Power [kW],Cp [-]
2.999999831,69.81037063,0.100335552
3.499999916,300.7386007,0.272197208
4,592.5769901,0.359305118
4.500000084,960.7903304,0.409156685
4.750000126,1180.062527,0.42729002
5.000000169,1423.168936,0.441819614
5.249999874,1688.097402,0.452708049
5.999999663,2645.426859,0.475270298
6.199999966,2944.731734,0.479478644
6.40000027,3261.91578,0.482871263
6.499999747,3428.374521,0.484447627
6.55000016,3513.451,0.485186337
6.599999899,3599.857563,0.485905846
6.700000051,3775.344381,0.487114154
6.800000202,3954.871322,0.488094793
6.900000354,4138.462389,0.488866488
6.919999845,4175.590621,0.488988058
6.929999928,4194.251751,0.489050152
6.94000001,4212.768442,0.489088858
6.950000093,4231.227759,0.489114531
6.960000175,4249.633461,0.489127764
6.969999584,4268.220374,0.48915576
6.980000341,4286.700634,0.489165047
6.989999749,4305.057042,0.489154466
6.999999831,4323.643369,0.489163867
7.499999916,5318.547947,0.489224161
8,6455.26067,0.489263048
8.500000084,7743.241043,0.48928802
9.000000169,9191.74705,0.489293116
9.500000253,10810.6372,0.489304304
10.00000034,12609.3778,0.489319143
10.2499997,13580.68803,0.48938292
10.49999975,14598.68596,0.489378059
10.60000057,14931.66796,0.486507177
10.70000005,14931.59269,0.472991558
10.72000022,14931.59855,0.470349316
10.73999971,14931.54489,0.467724941
10.76000055,14931.46775,0.465119143
10.78000004,14931.52664,0.462537044
10.78400034,14931.50659,0.462021882
10.78600049,14931.51905,0.461765284
10.78699989,14931.50634,0.461636557
10.78799997,14931.51526,0.46150846
10.78899937,14931.53854,0.461380941
10.78950042,14931.57416,0.461317766
10.8000002,14931.53489,0.459972382
10.89999968,15000,0.449480026
11,15000,0.437332545
11.5,15000,0.382733372
12,15000,0.336857417
12.5,15000,0.298029884
13,15000,0.264947482
13.5,15000,0.236585731
14,15000,0.212131785
14.5,15000,0.190935132
15,15000,0.172470998
15.5,15000,0.156312878
16,15000,0.142111723
16.5,15000,0.129580013
17,15000,0.118479466
17.5,15000,0.108611474
18,15000,0.099809605
18.5,15000,0.091933685
19,15000,0.084865085
19.5,15000,0.078502958
20,15000,0.072761202
20.5,15000,0.067566009
21,15000,0.062853862
21.5,15000,0.058569899
22,15000,0.054666568
22.5,15000,0.051102518
23,15000,0.047841671
23.5,15000,0.04485246
24,15000,0.042107177
24.5,15000,0.039581441
25,15000,0.037253735
25.5,15000,0.035105027
26,15000,0.033118435
26.5,15000,0.031278955
27,15000,0.029573216
27.5,15000,0.027989283
28,15000,0.026516473
28.5,15000,0.02514521
29,15000,0.023866892
29.5,15000,0.022673774
30,15000,0.021558875
30.001,0,0
50,0,0
