Year,IN,IA,TX,MS
2022,77.45578572,64.93733414,64.16835002,58.84502008
2025,77.70926518,64.52737215,60.26136254,59.242104
2030,81.62912588,62.94336729,64.51746896,65.87474945
2035,88.43683916,68.15350536,86.11397022,74.0679611
2040,95.84884875,81.02311081,104.7171928,79.11213139
