Length of Pipe in Arm (m),Number of such pipes needed,Number of turbines in each pipe,Site,Pipe start point,Pipe end point,Total number of turbines
6475,28,8,lbw_4MW,Turbine,Pipe,255
6858.147545,4,56,lbw_4MW,Pipe,Central,255
7400,2,8,lbw_4MW,Turbine,Central,255
6475,2,7,lbw_4MW,Turbine,Central,255
4900,28,6,lbw_6MW,Turbine,Pipe,168
6572.964646,4,42,lbw_6MW,Pipe,Central,168
6750,16,7,lbw_8MW,Turbine,Pipe,126
4632.788237,4,28,lbw_8MW,Pipe,Central,126
7312.5,2,7,lbw_8MW,Turbine,Central,126
