Scenario Number,Scenario Name,Location Type,Site Name,Lat,Long,Resource Year,Wind Size MW,Solar Size MW,BSS Size MW,BSS Size MWh,Electrolyzer Size MW,Interconnect Size MW,ATB Year,Powercurve File,PTC Available,ITC Available,Debt Equity,Discount Rate,Turbine Name,Turbine Rating MW,Tower Height,Rotor Diameter,Wind Cost $/KW,Solar Cost $/KW,BSS Cost $/KW,BSS Cost $/KWh,Electrolyzer Cost $/KW,Solar Fixed O&M $/kW,Wind Fixed O&M $/kW,BSS Fixed O&M $/kW,Electrolyzer Fixed O&M $/kg,Buy From Grid,Sell To Grid,Useful Life
1,Wind+PV+BSS+Hydrogen,Onshore,flatirons_site,35.2018863,-101.945027,2013,560,560,100,400,1000,1000,2022,2020ATB_NREL_Reference_7MW_200.csv,no,no,60,0.07,'2020ATB_7MW',7,175,200,1300,1200,250,240,460,20,42,31,0.2963,FALSE,FALSE,30
2,Wind+PV+Hydrogen,Onshore,flatirons_site,35.2018863,-101.945027,2013,560,560,0,0,1000,1000,2022,2020ATB_NREL_Reference_7MW_200.csv,no,no,60,0.07,'2020ATB_7MW',7,175,200,1300,1200,250,240,460,20,42,31,0.2963,FALSE,FALSE,30
