Wind Speed (m/s),Turbine Output
1,0
2,0
3,0
4,222
5,444
6,777
7,1206
8,1857
9,2603
10,3460
11,4158
12,4412
13,4500
14,4500
15,4500
16,4500
17,4500
18,4500
19,4380
20,4238
21,4063
22,3873
23,3666
24,3444
25,3285
26,3047
27,2857
28,0
29,0
30,0
