Specification No.,Grade,SMYS [Mpa],SMYS [ksi],SMTS [Mpa],SMTS [ksi]
API 5L,A25,172,25,310,45
API 5L,A,207,30,331,48
API 5L,B,241,35,414,60
API 5L,X42,290,42,414,60
API 5L,X52,317,52,455,66
API 5L,X56,386,56,490,71
API 5L,X60,414,60,517,75
API 5L,X65,448,65,531,77
API 5L,X70,483,70,565,82
API 5L,X80,552,80,621,90
