,Scenario Choice,Count,Site Lat,Site Lon,ATB Year,Resource Year,Site Name,Critical Load Factor,kW continuous load,PTC,ITC,Hub Height (m),Useful Life,Storage Enabled,Wind Cost kW,Solar Cost kW,Storage Cost kW,Storage Cost kWh,Storage Hours,Wind MW built,Solar MW built,Storage MW built,Storage MWh built,Battery Can Grid Charge,Built Interconnection Size,REOpt Interconnection Size,LCOE,Levelized H2 Elec Feedstock Cost/kg (HOPP),H2 H2 Elec Feedstock Cost/kg (HOPP) Net Cap Cost Method,H2 H2 Elec Feedstock Cost/kg (REopt) Net Cap Cost Method,REOpt Energy Shortfall,REOpt Curtailment,Grid Connected HOPP,HOPP Total Generation,HOPP Energy Shortfall,HOPP Curtailment,Battery Generation,Electricity to Grid
0,ATB 2020 Conservative,1,46.1,-94.33,2020,2013,Plainview Bioenergy - Texas,1.0,5000,yes,yes,90,25,True,1694,1389,269,309,81.15942665455123,11.049327,8.950673,10.3218303748089,837.713835245022,True,100000,20000,9.989693752089023,5.544280032409408,2.352756577026601,15.756030918739725,8638.312000000062,14214303.022000002,True,37334508.03297009,14949676.216965042,0.0,0.0,0.0
1,ATB 2020 Moderate,1,46.1,-94.33,2020,2013,Plainview Bioenergy - Texas,1.0,5000,yes,yes,90,25,True,1679,1354,260,299,81.15942665455123,11.049327,8.950673,10.3218303748089,837.713835245022,True,100000,20000,9.827613253122033,5.4543253554827285,2.303674522902124,15.756030918739725,8638.312000000062,14214303.022000002,True,37334508.03297009,14949676.216965042,0.0,0.0,0.0
2,ATB 2020 Advanced,1,46.1,-94.33,2020,2013,Plainview Bioenergy - Texas,1.0,5000,yes,yes,90,25,True,1629,1340,215,247,81.15942665455123,11.049327,8.950673,10.3218303748089,837.713835245022,True,100000,20000,9.286242965138722,5.1538648456519915,2.13973397517718,15.756030918739725,8638.312000000062,14214303.022000002,True,37334508.03297009,14949676.216965042,0.0,0.0,0.0
3,ATB 2025 Conservative,1,46.1,-94.33,2025,2013,Plainview Bioenergy - Texas,1.0,5000,no,no,100,25,True,1553,1306,233,267,81.15942665455123,11.049327,8.950673,10.3218303748089,837.713835245022,True,100000,20000,9.075869329244982,5.037107477730965,2.138313779553537,15.756030918739725,8638.312000000062,14214303.022000002,True,38142043.54380193,14557235.015487239,0.0,0.0,0.0
4,ATB 2025 Moderate,1,46.1,-94.33,2025,2013,Plainview Bioenergy - Texas,1.0,5000,no,no,100,25,True,1492,1095,179,206,81.15942665455123,11.049327,8.950673,10.3218303748089,837.713835245022,True,100000,20000,8.163228689405358,4.530591922619974,1.8559654038115843,15.756030918739725,8638.312000000062,14214303.022000002,True,38142043.54380193,14557235.015487239,0.0,0.0,0.0
5,ATB 2025 Advanced,1,46.1,-94.33,2025,2013,Plainview Bioenergy - Texas,1.0,5000,no,no,100,25,True,1301,1014,139,160,81.15942665455123,11.049327,8.950673,10.3218303748089,837.713835245022,True,100000,20000,7.353304648359845,4.081084079839714,1.605394995831786,15.756030918739725,8638.312000000062,14214303.022000002,True,38142043.54380193,14557235.015487239,0.0,0.0,0.0
6,ATB 2030 Conservative,1,46.1,-94.33,2030,2013,Plainview Bioenergy - Texas,1.0,5000,no,no,110,25,True,1414,1223,205,236,81.15942665455123,11.049327,8.950673,10.3218303748089,837.713835245022,True,100000,20000,7.976441360455509,4.426924955052808,1.9543700079904456,15.756030918739725,8638.312000000062,14214303.022000002,True,40431789.813887544,13436714.019331418,0.0,0.0,0.0
7,ATB 2030 Moderate,1,46.1,-94.33,2030,2013,Plainview Bioenergy - Texas,1.0,5000,no,no,120,25,True,1296,836,146,168,81.15942665455123,11.049327,8.950673,10.3218303748089,837.713835245022,True,100000,20000,6.61892290485678,3.673502212195513,1.5471388075535906,15.756030918739725,8638.312000000062,14214303.022000002,True,41095461.25229454,13147743.238208305,0.0,0.0,0.0
8,ATB 2030 Advanced,1,46.1,-94.33,2030,2013,Plainview Bioenergy - Texas,1.0,5000,no,no,135,25,True,940,688,101,116,81.15942665455123,11.049327,8.950673,10.3218303748089,837.713835245022,True,100000,20000,5.223511331628229,2.8990487890536674,1.170451707351921,15.756030918739725,8638.312000000062,14214303.022000002,True,43023060.54095102,12362701.047230043,0.0,0.0,0.0
9,ATB 2035 Conservative,1,46.1,-94.33,2035,2013,Plainview Bioenergy - Texas,1.0,5000,no,no,120,25,True,1375,1127,193,221,81.15942665455123,11.049327,8.950673,10.3218303748089,837.713835245022,True,100000,20000,7.540962871780412,4.185234393838129,1.854483089713008,15.756030918739725,8638.312000000062,14214303.022000002,True,41095461.25229454,13147743.238208305,0.0,0.0,0.0
