,Scenario Choice,Count,Site Lat,Site Lon,ATB Year,Resource Year,Site Name,Critical Load Factor,kW continuous load,PTC,ITC,Hub Height (m),Useful Life,Storage Enabled,Wind Cost kW,Solar Cost kW,Storage Cost kW,Storage Cost kWh,Storage Hours,Wind MW built,Solar MW built,Storage MW built,Storage MWh built,Battery Can Grid Charge,Built Interconnection Size,REOpt Interconnection Size,LCOE,Levelized H2 Elec Feedstock Cost/kg (HOPP),H2 H2 Elec Feedstock Cost/kg (HOPP) Net Cap Cost Method,H2 H2 Elec Feedstock Cost/kg (REopt) Net Cap Cost Method,REOpt Energy Shortfall,REOpt Curtailment,Grid Connected HOPP,HOPP Total Generation,HOPP Energy Shortfall,HOPP Curtailment,Battery Generation,Electricity to Grid
0,ATB 2020 Moderate,1,35.343,-89.86,2020,2013,NSA Midsouth,1.0,10000,yes,yes,90,25,True,1679,1354,260,299,76.5560680186842,16.8921259,33.107874100000004,18.0882135348334,1384.76250570919,True,50000000,50000,7.61368765738527,4.225596649848825,2.5259285135847183,13.354215490746574,43388.985000000175,18001913.448999997,True,105195597.50505748,20997100.20369941,0.0,0.0,0.0
1,ATB 2020 Moderate,1,35.343,-89.86,2020,2013,NSA Midsouth,0.9,10000,yes,yes,90,25,True,1679,1354,260,299,66.48919787891816,21.961021100000004,28.038978899999996,12.3539142234388,821.401847381404,True,50000000,50000,7.28508652236497,4.043223019912558,2.400306271403119,8.528893202801369,3780430.133,39338380.319,True,108384276.32618164,19935446.92167133,0.0,0.0,0.0
