,Count,Site Lat,Site Lon,ATB Year,Resource Year,Site Name,MT C02,kW continuous load,PTC,ITC,Hub Height (m),Useful Life,Storage Enabled,Wind Cost kW,Solar Cost kW,Storage Cost kW,Storage Cost kWh,Storage Hours,Wind MW built,Solar MW built,Storage MW built,Storage MWh built,Battery Can Grid Charge,Built Interconnection Size,REOpt Interconnection Size,LCOE,H2 Elec Feedstock Cost/kW,REOpt Energy Shortfall,REOpt Curtailment,HOPP Total Generation,HOPP Energy Shortfall,HOPP Curtailment
0,1,46.1,-94.33,2020,2013,Plainview Bioenergy - Texas,10640,2956.99964,True,True,120,25,True,1629,1340,215,247,27.458321417709463,9.3777278,10.6222722,4.86463830332035,133.574802113471,False,20000,20000,7.89854379447448,3.4753592695687714,8676.52940000007,27391763.666999996,43287533.89316658,5111921.550416658,0.0
1,2,46.1,-94.33,2025,2013,Plainview Bioenergy - Texas,10640,2956.99964,True,True,120,25,True,1301,1014,139,160,28.211028543976404,9.3320244,10.6679756,4.74079968922518,133.74283535400602,False,20000,20000,6.628684603884376,2.9166212257091257,8676.612240000062,28002072.592000004,43347469.28465043,5108043.807313053,0.0
2,3,46.1,-94.33,2030,2013,Plainview Bioenergy - Texas,10640,2956.99964,True,True,120,25,True,940,688,101,116,27.458321417710327,9.3777278,10.6222722,4.8646383033202705,133.574802113473,False,20000,20000,5.4836021929071945,2.4127849648791657,8676.652200000068,28137726.245,43287533.89316658,5111921.550416658,0.0
3,4,46.1,-94.33,2035,2013,Plainview Bioenergy - Texas,10640,2956.99964,True,True,120,25,True,876,645,92,105,27.458321417709783,9.3777278,10.6222722,4.86463830332033,133.574802113472,False,20000,20000,5.290259182708076,2.3277140403915535,8676.511280000072,27350175.515,43287533.89316658,5111921.550416658,0.0
