,Count,Site Lat,Site Lon,ATB Year,Resource Year,Site Name,PTC,ITC,Hub Height (m),Useful Life,Storage Enabled,Wind Cost kW,Solar Cost kW,Storage Cost kW,Wind MW built,Solar MW built,Storage MW built,Wind AEP (GWh),Wind Total Installed Cost ($),PPA Price,LCOE,IRR,Turbine Choice,Turbine Hub Height,Turbine Rotor Diameter,Wind Speed Average
0,1,40.966,-84.598,custom_cost,2013,Blue Creek,True,True,97,25,False,1974,9999,9999,304,0,0,858627075.7641094,600096000.0,"(0.045,)",6.242757409446476,"Solar: 0, Wind: -1.3404886116183907, Hybrid: -1.3404886116183907",gamesa_g90_2mw_100hh,97,90,7.094090548241929
1,2,40.966,-84.598,custom_cost,2013,Blue Creek,True,True,98,25,False,1974,9999,9999,304,0,0,860984317.7647127,600096000.0,"(0.045,)",6.22324211511169,"Solar: 0, Wind: -1.2868978973900902, Hybrid: -1.2868978973900902",gamesa_g90_2mw_100hh,98,90,7.104284340900164
