,Comment,P_nodes,P_losses,P_losses_percent,s_NR,i_NR,v_NR
0,,"[[12.013+1.1960446j ]
 [ 6.637+0.51814207j]
 [ 1.224+0.04748353j]
 [13.188+0.6757561j ]
 [ 2.194+0.07603027j]
 [ 0.199+0.0041776j ]
 [ 9.787+0.03011012j]]",(5.227422746401089e-05+0.0019675129709344485j),(0.00011554358221124375+0.07722568459195582j),"[[-2.26210000e-05-1.27292341e-06j]
 [ 6.00651218e-06+5.98038625e-07j]
 [ 3.31850242e-06+2.59074272e-07j]
 [ 6.12000123e-07+2.37419293e-08j]
 [ 6.59400704e-06+3.37887479e-07j]
 [ 1.09700043e-06+3.80157121e-08j]
 [ 9.95000009e-08+2.08880292e-09j]
 [ 4.89350395e-06+1.50603463e-08j]]","[[-2.26210000e-05+1.27292341e-06j]
 [ 6.00650000e-06-5.98022302e-07j]
 [ 3.31850000e-06-2.59071036e-07j]
 [ 6.12000000e-07-2.37417646e-08j]
 [ 6.59400000e-06-3.37878049e-07j]
 [ 1.09700000e-06-3.80151326e-08j]
 [ 9.94999998e-08-2.08880145e-09j]
 [ 4.89350000e-06-1.50550599e-08j]]","[[1.        +0.00000000e+00j]
 [1.00000228+2.49091868e-06j]
 [1.0000008 +9.12802347e-07j]
 [1.00000021+2.60960795e-07j]
 [1.00000114+1.37183200e-06j]
 [1.00000041+5.13969988e-07j]
 [1.00000001+1.45599364e-08j]
 [1.00000081+1.07781475e-06j]]"
1,,"[[13.117+0.82705021j]
 [ 5.089+0.42864672j]
 [ 0.   +0.j        ]
 [ 9.819+0.68990517j]
 [ 2.473+0.13753091j]
 [ 3.411+0.16814402j]
 [ 0.542+0.02212868j]]",(4.131450044475571e-05+0.0019528249772371442j),(0.00011992249991221068+0.08589865732138716j),"[[-1.72255000e-05-1.13575412e-06j]
 [ 6.55851444e-06+4.13544449e-07j]
 [ 2.54450142e-06+2.14325263e-07j]
 [ 0.00000000e+00+0.00000000e+00j]
 [ 4.90950391e-06+3.44957827e-07j]
 [ 1.23650055e-06+6.87661907e-08j]
 [ 1.70550032e-06+8.40724446e-08j]
 [ 2.71000012e-07+1.10643555e-08j]]","[[-1.72255e-05+1.13575412e-06j]
 [ 6.55850e-06-4.13525103e-07j]
 [ 2.54450e-06-2.14323359e-07j]
 [ 0.00000e+00+0.00000000e+00j]
 [ 4.90950e-06-3.44952588e-07j]
 [ 1.23650e-06-6.87654531e-08j]
 [ 1.70550e-06-8.40720115e-08j]
 [ 2.71000e-07-1.10643392e-08j]]","[[1.        +0.00000000e+00j]
 [1.00000238+2.79989607e-06j]
 [1.00000062+6.96487912e-07j]
 [1.        +1.36701502e-11j]
 [1.00000087+1.00631115e-06j]
 [1.00000048+5.70024670e-07j]
 [1.0000002 +2.43996539e-07j]
 [1.00000005+5.80162583e-08j]]"
2,,"[[11.203+0.71204065j]
 [ 1.105+0.02477421j]
 [ 0.   +0.j        ]
 [ 8.15 +0.69877802j]
 [ 2.718+0.03816807j]
 [ 5.075+0.34152827j]
 [ 0.055+0.00097954j]]",(2.935745252230504e-05+0.0019368094459141783j),(0.0001037145923913836+0.10663672120438142j),"[[-1.41530000e-05-9.07185641e-07j]
 [ 5.60151053e-06+3.56034439e-07j]
 [ 5.52500067e-07+1.23871921e-08j]
 [ 0.00000000e+00+0.00000000e+00j]
 [ 4.07500270e-06+3.49392629e-07j]
 [ 1.35900066e-06+1.90849239e-08j]
 [ 2.53750072e-06+1.70765095e-07j]
 [ 2.74999997e-08+4.89767505e-10j]]","[[-1.41530000e-05+9.07185641e-07j]
 [ 5.60150000e-06-3.56020325e-07j]
 [ 5.52500000e-07-1.23871029e-08j]
 [ 0.00000000e+00+0.00000000e+00j]
 [ 4.07500000e-06-3.49389011e-07j]
 [ 1.35900000e-06-1.90840355e-08j]
 [ 2.53750000e-06-1.70764134e-07j]
 [ 2.74999996e-08-4.89767338e-10j]]","[[1.        +0.00000000e+00j]
 [1.00000203+2.39039606e-06j]
 [1.00000012+1.58686902e-07j]
 [1.        +1.36701502e-11j]
 [1.00000073+8.25081989e-07j]
 [1.0000005 +6.46774109e-07j]
 [1.00000031+3.57956218e-07j]
 [1.        +6.00383411e-09j]]"
3,,"[[9.863+0.33958617j]
 [0.025+0.00059797j]
 [0.   +0.j        ]
 [4.225+0.37140743j]
 [2.295+0.05933812j]
 [3.053+0.15482181j]
 [0.   +0.j        ]]",(1.9193867159650324e-05+0.0019231934560143271j),(9.862734268357393e-05+0.20774402919842594j),"[[-9.73050000e-06-4.61927012e-07j]
 [ 4.93150814e-06+1.69803991e-07j]
 [ 1.25000002e-08+2.98984460e-10j]
 [ 0.00000000e+00+0.00000000e+00j]
 [ 2.11250073e-06+1.85704685e-07j]
 [ 1.14750047e-06+2.96696952e-08j]
 [ 1.52650026e-06+7.74112531e-08j]
 [-4.44089210e-16-6.07081443e-27j]]","[[-9.73050000e-06+4.61927012e-07j]
 [ 4.93150000e-06-1.69793083e-07j]
 [ 1.25000001e-08-2.98984414e-10j]
 [ 0.00000000e+00+0.00000000e+00j]
 [ 2.11250000e-06-1.85703712e-07j]
 [ 1.14750000e-06-2.96690614e-08j]
 [ 1.52650000e-06-7.74109061e-08j]
 [-4.44089210e-16+0.00000000e+00j]]","[[1.        +0.00000000e+00j]
 [1.00000172+2.15250768e-06j]
 [1.        +3.59947873e-09j]
 [1.        +1.36701502e-11j]
 [1.00000038+4.26993938e-07j]
 [1.00000043+5.41253763e-07j]
 [1.00000018+2.18149705e-07j]
 [1.        +1.36702588e-11j]]"
4,,"[[8.61 +0.51869259j]
 [0.   +0.j        ]
 [0.   +0.j        ]
 [0.   +0.j        ]
 [2.193+0.07031559j]
 [2.372+0.22153379j]
 [0.   +0.j        ]]",(1.3613098372555754e-05+0.0019157163430860158j),(0.00010332522483913287+0.23635004839907822j),"[[-6.58750000e-06-4.04322250e-07j]
 [ 4.30500622e-06+2.59354628e-07j]
 [ 1.12912369e-17+1.51289323e-17j]
 [ 0.00000000e+00+0.00000000e+00j]
 [-1.02864345e-17-1.37826150e-17j]
 [ 1.09650043e-06+3.51583742e-08j]
 [ 1.18600016e-06+1.10767106e-07j]
 [-4.44089210e-16-6.07081443e-27j]]","[[-6.58750000e-06+4.04322250e-07j]
 [ 4.30500000e-06-2.59346295e-07j]
 [ 1.12912369e-17-1.51289323e-17j]
 [ 0.00000000e+00+0.00000000e+00j]
 [-1.02864345e-17+1.37826150e-17j]
 [ 1.09650000e-06-3.51577953e-08j]
 [ 1.18600000e-06-1.10766896e-07j]
 [-4.44089210e-16+0.00000000e+00j]]","[[1.        +0.00000000e+00j]
 [1.00000156+1.84189957e-06j]
 [1.        +1.36702020e-11j]
 [1.        +1.36701502e-11j]
 [1.        +1.36701934e-11j]
 [1.00000041+5.14755152e-07j]
 [1.00000015+1.63881057e-07j]
 [1.        +1.36702588e-11j]]"
5,,"[[1.622+0.15177381j]
 [0.   +0.j        ]
 [0.   +0.j        ]
 [0.   +0.j        ]
 [2.428+0.18252142j]
 [1.555+0.05439344j]
 [0.   +0.j        ]]",(1.6376421949626518e-06+0.0018996702980924388j),(2.921752354973509e-05+0.4887382787931563j),"[[-2.80250000e-06-1.93395598e-07j]
 [ 8.11000222e-07+7.58872016e-08j]
 [ 1.12912369e-17+1.51289323e-17j]
 [ 0.00000000e+00+0.00000000e+00j]
 [-1.02864345e-17-1.37826150e-17j]
 [ 1.21400053e-06+9.12614205e-08j]
 [ 7.77500067e-07+2.71968113e-08j]
 [-4.44089210e-16-6.07081443e-27j]]","[[-2.80250000e-06+1.93395598e-07j]
 [ 8.11000000e-07-7.58869043e-08j]
 [ 1.12912369e-17-1.51289323e-17j]
 [ 0.00000000e+00+0.00000000e+00j]
 [-1.02864345e-17+1.37826150e-17j]
 [ 1.21400000e-06-9.12607077e-08j]
 [ 7.77500000e-07-2.71967214e-08j]
 [-4.44089210e-16+0.00000000e+00j]]","[[1.        +0.00000000e+00j]
 [1.00000031+3.37961023e-07j]
 [1.        +1.36702020e-11j]
 [1.        +1.36701502e-11j]
 [1.        +1.36701934e-11j]
 [1.00000048+5.51128650e-07j]
 [1.00000009+1.12473803e-07j]
 [1.        +1.36702588e-11j]]"
6,,"[[0.205+0.01686039j]
 [0.097+0.00847772j]
 [0.   +0.j        ]
 [0.   +0.j        ]
 [2.038+0.18971265j]
 [4.993+0.36768799j]
 [1.851+0.10984641j]]",(2.4287913396037197e-06+0.0019007295796419355j),(2.6445898732618896e-05+0.2744398354912229j),"[[-4.59200000e-06-3.45343847e-07j]
 [ 1.02500004e-07+8.43019884e-09j]
 [ 4.85000006e-08+4.23886255e-09j]
 [ 0.00000000e+00+0.00000000e+00j]
 [-1.02864345e-17-1.37826150e-17j]
 [ 1.01900038e-06+9.48568265e-08j]
 [ 2.49650069e-06+1.83844928e-07j]
 [ 9.25500142e-07+5.49233953e-08j]]","[[-4.59200000e-06+3.45343847e-07j]
 [ 1.02500000e-07-8.43019410e-09j]
 [ 4.85000001e-08-4.23886186e-09j]
 [ 0.00000000e+00+0.00000000e+00j]
 [-1.02864345e-17+1.37826150e-17j]
 [ 1.01900000e-06-9.48563228e-08j]
 [ 2.49650000e-06-1.83843998e-07j]
 [ 9.25500000e-07-5.49232055e-08j]]","[[1.        +0.00000000e+00j]
 [1.00000004+4.31140419e-08j]
 [1.00000001+1.32554644e-08j]
 [1.        +1.36701502e-11j]
 [1.        +1.36701934e-11j]
 [1.00000041+4.56052817e-07j]
 [1.0000003 +3.50417023e-07j]
 [1.00000016+1.95276505e-07j]]"
7,,"[[ 5.819+0.4942888j ]
 [ 5.608+0.14279143j]
 [18.595+1.8053239j ]
 [ 0.082+0.00598677j]
 [ 2.423+0.06614539j]
 [ 8.596+0.34180903j]
 [11.797+0.16525447j]]",(8.29408923976871e-05+0.0020086117274673576j),(0.00015672882161316533+0.06647510811628238j),"[[-2.64600000e-05-1.50985116e-06j]
 [ 2.90950285e-06+2.47148219e-07j]
 [ 2.80400172e-06+7.13980143e-08j]
 [ 9.29752860e-06+9.02700267e-07j]
 [ 4.10000003e-08+2.99338344e-09j]
 [ 1.21150053e-06+3.30734033e-08j]
 [ 4.29800205e-06+1.70907264e-07j]
 [ 5.89850573e-06+8.26349153e-08j]]","[[-2.6460e-05+1.50985116e-06j]
 [ 2.9095e-06-2.47144399e-07j]
 [ 2.8040e-06-7.13957163e-08j]
 [ 9.2975e-06-9.02661952e-07j]
 [ 4.1000e-08-2.99338307e-09j]
 [ 1.2115e-06-3.30726968e-08j]
 [ 4.2980e-06-1.70904516e-07j]
 [ 5.8985e-06-8.26272331e-08j]]","[[1.        +0.00000000e+00j]
 [1.00000108+1.22080875e-06j]
 [1.00000063+8.03438879e-07j]
 [1.00000344+3.78670752e-06j]
 [1.00000001+8.39923418e-09j]
 [1.00000045+5.70812811e-07j]
 [1.0000005 +6.19411205e-07j]
 [1.00000099+1.28854384e-06j]]"
8,,"[[18.726+1.14981507j]
 [ 1.183+0.056517j  ]
 [32.812+3.19030302j]
 [ 3.592+0.06400935j]
 [18.943+0.15972571j]
 [13.361+0.09446429j]
 [11.364+0.43954341j]]",(0.00032307013074728275+0.0023303526086104753j),(0.00032313152573717276+0.04521113264359212j),"[[-4.99905000e-05-2.57624019e-06j]
 [ 9.36302942e-06+5.74946959e-07j]
 [ 5.91500076e-07+2.82586004e-08j]
 [ 1.64060890e-05+1.59527081e-06j]
 [ 1.79600052e-06+3.20053741e-08j]
 [ 9.47153220e-06+7.99060061e-08j]
 [ 6.68050495e-06+4.72387719e-08j]
 [ 5.68200533e-06+2.19778845e-07j]]","[[-4.99905e-05+2.57624019e-06j]
 [ 9.36300e-06-5.74907537e-07j]
 [ 5.91500e-07-2.82584979e-08j]
 [ 1.64060e-05-1.59515151e-06j]
 [ 1.79600e-06-3.20046761e-08j]
 [ 9.47150e-06-7.98628572e-08j]
 [ 6.68050e-06-4.72321431e-08j]
 [ 5.68200e-06-2.19771707e-07j]]","[[1.        +0.00000000e+00j]
 [1.00000339+4.00232672e-06j]
 [1.00000014+1.66618192e-07j]
 [1.00000608+6.68109342e-06j]
 [1.0000003 +3.83344378e-07j]
 [1.00000344+4.52666201e-06j]
 [1.00000075+9.86970164e-07j]
 [1.00000098+1.21815377e-06j]]"
9,,"[[ 9.201+0.81712145j]
 [18.638+0.35103213j]
 [42.467+1.81029099j]
 [19.673+1.48374428j]
 [14.193+0.02317765j]
 [18.617+1.77241773j]
 [13.171+0.45068719j]]",(0.00044944524091761195+0.002499680564392648j),(0.0003305716688126007+0.037261551910418154j),"[[-6.79800000e-05-3.35328698e-06j]
 [ 4.60050713e-06+4.08570283e-07j]
 [ 9.31901894e-06+1.75541437e-07j]
 [ 2.12336480e-05+9.05343828e-07j]
 [ 9.83651571e-06+7.41893190e-07j]
 [ 7.09651808e-06+1.16130475e-08j]
 [ 9.30850969e-06+8.86221853e-07j]
 [ 6.58550715e-06+2.25353179e-07j]]","[[-6.79800e-05+3.35328698e-06j]
 [ 4.60050e-06-4.08560727e-07j]
 [ 9.31900e-06-1.75516063e-07j]
 [ 2.12335e-05-9.05145496e-07j]
 [ 9.83650e-06-7.41872141e-07j]
 [ 7.09650e-06-1.15888266e-08j]
 [ 9.30850e-06-8.86208867e-07j]
 [ 6.58550e-06-2.25343594e-07j]]","[[1.        +0.00000000e+00j]
 [1.00000172+1.92439081e-06j]
 [1.00000208+2.68363451e-06j]
 [1.00000736+9.02696036e-06j]
 [1.00000175+2.00800448e-06j]
 [1.00000255+3.40891339e-06j]
 [1.00000116+1.28428514e-06j]
 [1.00000113+1.41669102e-06j]]"
