,Type,Name,Amount,NPV
10,Operating Expenses,Sales tax,"[-0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0.
 -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0.]",0.0
11,Operating Expenses,Credit card fees,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0.0
12,Operating Expenses,Road tax,"[-0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0.
 -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0.]",0.0
13,Operating Expenses,Installation cost,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.0
14,Operating Expenses,Battery O&M Cost,"[ 0.          0.          0.          9.21938625 42.888      42.888
 42.888      42.888      42.888      42.888      42.888      42.888
 42.888      42.888      42.888      42.888      42.888      42.888
 42.888      42.888      42.888      42.888      42.888      42.888
 42.888      42.888      42.888      42.888      42.888      42.888
 42.888      42.888      42.888      33.66861375]",1.1417168259435441e-08
15,Operating Expenses,Solar O&M Cost,"[   0.            0.            0.          430.14344063 2001.
 2001.         2001.         2001.         2001.         2001.
 2001.         2001.         2001.         2001.         2001.
 2001.         2001.         2001.         2001.         2001.
 2001.         2001.         2001.         2001.         2001.
 2001.         2001.         2001.         2001.         2001.
 2001.         2001.         2001.         1570.85655937]",5.326840535145104e-07
16,Financing cash outflow,Solar System,"[991000.      0.      0.      0.      0.      0.      0.      0.      0.
      0.      0.      0.      0.      0.      0.      0.      0.      0.
      0.      0.      0.      0.      0.      0.      0.      0.      0.
      0.      0.      0.      0.      0.      0.      0.]",8.793768066514739e-06
17,Operating Expenses,Non-depreciable assets,"[-1000000.       -0.       -0.       -0.       -0.       -0.       -0.
       -0.       -0.       -0.       -0.       -0.       -0.       -0.
       -0.       -0.       -0.       -0.       -0.       -0.       -0.
       -0.       -0.       -0.       -0.       -0.       -0.       -0.
       -0.       -0.       -0.       -0.       -0.       -0.]",8.873630743203572e-06
18,Operating Expenses,Cash on hand reserve,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 7.36481678e+05
 0.00000000e+00 8.63160027e+06 5.17896016e+06 1.37646389e+06
 5.74146308e+05 5.81783005e+06 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 5.58793545e-09
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",0.00019801935029196803
19,Financing cash outflow,Battery System,"[37000000.        0.        0.        0.        0.        0.        0.
        0.        0.        0.        0.        0.        0.        0.
        0.        0.        0.        0.        0.        0.        0.
        0.        0.        0.        0.        0.        0.        0.
        0.        0.        0.        0.        0.        0.]",0.00032832433749853217
20,Operating Expenses,Property insurance,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 8.67582424e+06
 2.42216304e+07 1.45389782e+07 8.72938695e+06 4.08341262e+06
 1.50000000e+04 1.50000000e+04 1.50000000e+04 1.50000000e+04
 1.50000000e+04 1.50000000e+04 1.50000000e+04 1.50000000e+04
 1.50000000e+04 1.50000000e+04 1.50000000e+04 1.50000000e+04
 1.50000000e+04 1.50000000e+04 1.50000000e+04 1.50000000e+04
 1.50000000e+04 1.50000000e+04 1.50000000e+04 1.50000000e+04
 1.50000000e+04 1.50000000e+04 1.50000000e+04 1.50000000e+04
 1.50000000e+04 1.17755364e+04]",0.000538061544719607
21,Financing cash outflow,Electrical Export system,"[4.63970957e+08 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",0.004117106949277071
22,Operating Expenses,Wind and Electrical Fixed O&M Cost,"[       0.                0.                0.         10929288.15518808
 50842355.20761452 50842355.20761452 50842355.20761452 50842355.20761452
 50842355.20761452 50842355.20761452 50842355.20761452 50842355.20761452
 50842355.20761452 50842355.20761452 50842355.20761452 50842355.20761452
 50842355.20761452 50842355.20761452 50842355.20761452 50842355.20761461
 50842355.20761452 50842355.20761452 50842355.20761452 50842355.20761452
 50842355.20761452 50842355.20761452 50842355.20761452 50842355.20761452
 50842355.20761452 50842355.20761452 50842355.20761452 50842355.20761452
 50842355.20761452 39913067.05242635]",0.013534688586814931
23,Financing cash outflow,Wind System,"[2.32922289e+09 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",0.020668663809905907
24,Financing cash outflow,Income taxes payable,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 2.78622199e+07 4.90257609e+07
 5.99839292e+07 1.29797890e+08 1.29797890e+08 1.29797890e+08
 1.29797890e+08 1.29797890e+08 1.29797890e+08 1.29797890e+08
 1.29797890e+08 1.29797890e+08 1.29797890e+08 1.29797890e+08
 1.29797890e+08 1.29797890e+08 1.29797890e+08 1.29797890e+08
 1.29797890e+08 1.29797890e+08 1.29797890e+08 1.29797890e+08
 1.29797890e+08 1.29797890e+08 1.29797890e+08 1.29797890e+08
 1.29797890e+08 1.01895985e+08]",0.029761423219786934
25,Financing cash outflow,Dividends paid,"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.09757698e+08
 -6.40676133e+08 -5.21204621e+08 -4.62509739e+08 -4.49794669e+08
 -4.43707231e+08 -3.68649586e+08 -3.74467416e+08 -3.74467416e+08
 -3.74467416e+08 -3.74467416e+08 -3.74467416e+08 -3.74467416e+08
 -3.74467416e+08 -3.74467416e+08 -3.74467416e+08 -3.74467416e+08
 -3.74467416e+08 -3.74467416e+08 -3.74467416e+08 -3.74467416e+08
 -3.74467416e+08 -3.74467416e+08 -3.74467416e+08 -3.74467416e+08
 -3.74467416e+08 -3.74467416e+08 -3.74467416e+08 -3.74467416e+08
 -3.74467416e+08 -3.10025087e+08]",0.10576547334474501
26,Operating Revenue,Take or pay revenue,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0.0
27,Operating Revenue,Incidental revenue,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0.0
28,Financing cash inflow,Inflow of debt,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0.0
29,Financing cash inflow,One time capital incentive,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0.0
30,Financing cash inflow,Annual operating incentives,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0.0
31,Operating Revenue,Sale of non-depreciable assets,"[      0.       0.       0.       0.       0.       0.       0.       0.
       0.       0.       0.       0.       0.       0.       0.       0.
       0.       0.       0.       0.       0.       0.       0.       0.
       0.       0.       0.       0.       0.       0.       0.       0.
       0. 1000000.]",8.873630743203572e-06
32,Operating Revenue,Cash on hand recovery,"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
 -7.26070828e+06  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
 -5.58793545e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00 -1.50547741e+07]",0.00019801935029196803
33,Financing cash inflow,Monetized tax losses,"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.07677716e+07
 -1.53356749e+08 -4.00948934e+07  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0018121676682141758
34,Financing cash inflow,Inflow of equity,"[2.83218484e+09 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",0.02513176249549123
35,Operating Revenue,electricity sales,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 1.19331959e+08
 5.55124705e+08 5.55124705e+08 5.55124705e+08 5.55124705e+08
 5.55124705e+08 5.55124705e+08 5.55124705e+08 5.55124705e+08
 5.55124705e+08 5.55124705e+08 5.55124705e+08 5.55124705e+08
 5.55124705e+08 5.55124705e+08 5.55124705e+08 5.55124705e+08
 5.55124705e+08 5.55124705e+08 5.55124705e+08 5.55124705e+08
 5.55124705e+08 5.55124705e+08 5.55124705e+08 5.55124705e+08
 5.55124705e+08 5.55124705e+08 5.55124705e+08 5.55124705e+08
 5.55124705e+08 4.35792746e+08]",0.14777914949833085
