,2020,2025,2030,2035,2050
Battery Energy Capital Cost ($/kWh),369,211,143,134,107
Battery Power Capital Cost ($/kW),249,162,110,103,82
Fixed O&M Perc,0.025,0.025,0.025,0.025,0.025
Reference Charge Rate (MW),60,60,60,60,60
Reference Capacity (MWh),240,240,240,240,240
