Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,173948,-,-,-,42.05,-108.94,-7,2260,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle
2012,1,1,0,30,0,0,0,3.8000000000000003,-14,160.85
2012,1,1,1,30,0,0,0,3.7,-13,155.91
2012,1,1,2,30,0,0,0,3.8000000000000003,-13,146.8
2012,1,1,3,30,0,0,0,3.8000000000000003,-13,136.18
2012,1,1,4,30,0,0,0,3.8000000000000003,-13,125.10000000000001
2012,1,1,5,30,0,0,0,3.7,-13,114.03
2012,1,1,6,30,0,0,0,3.6,-13,103.26
2012,1,1,7,30,0,0,0,3.9000000000000004,-12,93.08
2012,1,1,8,30,90,28,576,4.1000000000000005,-11,83.82000000000001
2012,1,1,9,30,243,47,803,4.4,-8,75.89
2012,1,1,10,30,368,58,894,4.6000000000000005,-6,69.78
2012,1,1,11,30,440,74,901,4.7,-4,66.04
2012,1,1,12,30,459,77,905,4.7,-3,65.09
2012,1,1,13,30,418,72,888,4.6000000000000005,-3,67.07000000000001
2012,1,1,14,30,213,133,254,4.3,-3,71.71000000000001
2012,1,1,15,30,184,48,686,3.4000000000000004,-4,78.54
2012,1,1,16,30,37,37,0,2.5,-7,87
2012,1,1,17,30,0,0,0,2.2,-8,96.63
2012,1,1,18,30,0,0,0,2,-9,107.05
2012,1,1,19,30,0,0,0,1.9000000000000001,-9,117.95
2012,1,1,20,30,0,0,0,1.9000000000000001,-10,129.07
2012,1,1,21,30,0,0,0,2,-10,140.05
2012,1,1,22,30,0,0,0,2.2,-10,150.29
2012,1,1,23,30,0,0,0,2.3000000000000003,-10,158.3
2012,1,2,0,30,0,0,0,2.4000000000000004,-10,160.78
2012,1,2,1,30,0,0,0,2.4000000000000004,-10,155.9
2012,1,2,2,30,0,0,0,2.3000000000000003,-10,146.83
2012,1,2,3,30,0,0,0,2.2,-10,136.22
2012,1,2,4,30,0,0,0,2,-10,125.14
2012,1,2,5,30,0,0,0,1.9000000000000001,-10,114.06
2012,1,2,6,30,0,0,0,1.9000000000000001,-10,103.29
2012,1,2,7,30,0,0,0,2.2,-10,93.10000000000001
2012,1,2,8,30,88,27,563,2.9000000000000004,-7,83.82000000000001
2012,1,2,9,30,122,100,91,3.5,-4,75.87
2012,1,2,10,30,361,50,896,3.6,-2,69.74
2012,1,2,11,30,430,64,900,4,0,65.97
2012,1,2,12,30,450,64,914,4.2,0,65
2012,1,2,13,30,412,60,900,4,1,66.96000000000001
2012,1,2,14,30,321,52,850,3,0,71.59
2012,1,2,15,30,186,41,721,2,-1,78.4
2012,1,2,16,30,39,19,363,1.9000000000000001,-2,86.86
2012,1,2,17,30,0,0,0,2.1,-3,96.49000000000001
2012,1,2,18,30,0,0,0,2.2,-4,106.91
2012,1,2,19,30,0,0,0,2.4000000000000004,-5,117.81
2012,1,2,20,30,0,0,0,2.7,-5,128.93
2012,1,2,21,30,0,0,0,2.8000000000000003,-6,139.91
2012,1,2,22,30,0,0,0,2.9000000000000004,-6,150.15
2012,1,2,23,30,0,0,0,2.8000000000000003,-7,158.17000000000002
2012,1,3,0,30,0,0,0,2.7,-7,160.70000000000002
2012,1,3,1,30,0,0,0,2.6,-7,155.88
2012,1,3,2,30,0,0,0,2.6,-7,146.84
2012,1,3,3,30,0,0,0,2.5,-7,136.25
2012,1,3,4,30,0,0,0,2.5,-7,125.17
2012,1,3,5,30,0,0,0,2.4000000000000004,-7,114.09
2012,1,3,6,30,0,0,0,2.3000000000000003,-6,103.31
2012,1,3,7,30,0,0,0,2.3000000000000003,-5,93.11
2012,1,3,8,30,31,31,0,2.5,-4,83.82000000000001
2012,1,3,9,30,240,45,796,3.5,-2,75.84
2012,1,3,10,30,363,54,889,4.4,0,69.69
2012,1,3,11,30,436,58,925,5,0,65.9
2012,1,3,12,30,322,180,334,5.2,1,64.9
2012,1,3,13,30,228,178,127,4.800000000000001,2,66.84
2012,1,3,14,30,327,49,875,3.6,1,71.46000000000001
2012,1,3,15,30,193,39,759,2.5,0,78.27
2012,1,3,16,30,43,18,432,2.3000000000000003,-2,86.72
2012,1,3,17,30,0,0,0,2.2,-4,96.35000000000001
2012,1,3,18,30,0,0,0,2.1,-5,106.77
2012,1,3,19,30,0,0,0,2.2,-6,117.67
2012,1,3,20,30,0,0,0,2.4000000000000004,-7,128.78
2012,1,3,21,30,0,0,0,2.5,-7,139.76
2012,1,3,22,30,0,0,0,2.6,-8,150.01
2012,1,3,23,30,0,0,0,2.6,-9,158.04
2012,1,4,0,30,0,0,0,2.8000000000000003,-9,160.61
2012,1,4,1,30,0,0,0,3.1,-9,155.86
2012,1,4,2,30,0,0,0,3.3000000000000003,-9,146.85
2012,1,4,3,30,0,0,0,3.5,-9,136.27
2012,1,4,4,30,0,0,0,3.6,-9,125.2
2012,1,4,5,30,0,0,0,3.7,-9,114.11
2012,1,4,6,30,0,0,0,3.9000000000000004,-9,103.33
2012,1,4,7,30,0,0,0,4.4,-8,93.12
2012,1,4,8,30,53,40,124,5,-6,83.81
2012,1,4,9,30,167,90,314,5.4,-3,75.81
2012,1,4,10,30,202,154,138,5.6000000000000005,-1,69.63
2012,1,4,11,30,266,187,193,5.800000000000001,0,65.82000000000001
2012,1,4,12,30,290,194,225,5.7,0,64.8
2012,1,4,13,30,229,179,126,5.4,1,66.72
2012,1,4,14,30,216,133,260,4.6000000000000005,1,71.32000000000001
2012,1,4,15,30,191,41,729,3.5,0,78.12
2012,1,4,16,30,43,19,394,2.9000000000000004,-1,86.57000000000001
2012,1,4,17,30,0,0,0,2.9000000000000004,-2,96.2
2012,1,4,18,30,0,0,0,2.9000000000000004,-3,106.62
2012,1,4,19,30,0,0,0,2.9000000000000004,-4,117.53
2012,1,4,20,30,0,0,0,2.9000000000000004,-4,128.64000000000001
2012,1,4,21,30,0,0,0,3,-4,139.62
2012,1,4,22,30,0,0,0,2.9000000000000004,-5,149.86
2012,1,4,23,30,0,0,0,2.8000000000000003,-5,157.9
2012,1,5,0,30,0,0,0,2.7,-5,160.52
2012,1,5,1,30,0,0,0,2.7,-5,155.83
2012,1,5,2,30,0,0,0,2.7,-6,146.86
2012,1,5,3,30,0,0,0,2.9000000000000004,-6,136.29
2012,1,5,4,30,0,0,0,3,-6,125.22
2012,1,5,5,30,0,0,0,3.1,-6,114.13
2012,1,5,6,30,0,0,0,3.1,-6,103.34
2012,1,5,7,30,0,0,0,3.2,-6,93.11
2012,1,5,8,30,88,27,567,3.9000000000000004,-3,83.79
2012,1,5,9,30,239,42,799,4.5,-1,75.77
2012,1,5,10,30,362,50,895,4.9,0,69.57000000000001
2012,1,5,11,30,438,53,937,5.300000000000001,2,65.73
2012,1,5,12,30,458,53,947,5.5,3,64.69
2012,1,5,13,30,420,52,927,5.300000000000001,3,66.58
2012,1,5,14,30,328,48,867,4.2,3,71.18
2012,1,5,15,30,107,83,114,3,1,77.97
2012,1,5,16,30,29,22,106,2.9000000000000004,0,86.42
2012,1,5,17,30,0,0,0,3.2,-1,96.05
2012,1,5,18,30,0,0,0,3.7,-1,106.47
2012,1,5,19,30,0,0,0,4.1000000000000005,-2,117.38
2012,1,5,20,30,0,0,0,4.4,-2,128.49
2012,1,5,21,30,0,0,0,4.6000000000000005,-3,139.47
2012,1,5,22,30,0,0,0,4.6000000000000005,-4,149.71
2012,1,5,23,30,0,0,0,4.3,-4,157.75
2012,1,6,0,30,0,0,0,3.8000000000000003,-5,160.41
2012,1,6,1,30,0,0,0,3.4000000000000004,-6,155.78
2012,1,6,2,30,0,0,0,3.1,-6,146.85
2012,1,6,3,30,0,0,0,2.8000000000000003,-7,136.3
2012,1,6,4,30,0,0,0,2.6,-8,125.23
2012,1,6,5,30,0,0,0,2.4000000000000004,-8,114.14
2012,1,6,6,30,0,0,0,2.3000000000000003,-8,103.34
2012,1,6,7,30,0,0,0,2.5,-8,93.11
2012,1,6,8,30,93,28,604,2.9000000000000004,-6,83.77
2012,1,6,9,30,250,42,843,2.7,-4,75.73
2012,1,6,10,30,378,50,937,2.4000000000000004,-2,69.5
2012,1,6,11,30,457,53,980,2.8000000000000003,0,65.63
2012,1,6,12,30,479,53,993,3.5,0,64.57000000000001
2012,1,6,13,30,442,51,979,3.8000000000000003,0,66.45
2012,1,6,14,30,348,50,915,3.5,0,71.03
2012,1,6,15,30,82,78,18,2.4000000000000004,-1,77.82000000000001
2012,1,6,16,30,52,20,488,1.8,-4,86.27
2012,1,6,17,30,0,0,0,1.9000000000000001,-5,95.89
2012,1,6,18,30,0,0,0,1.7000000000000002,-6,106.32000000000001
2012,1,6,19,30,0,0,0,1.4000000000000001,-6,117.22
2012,1,6,20,30,0,0,0,1.3,-6,128.34
2012,1,6,21,30,0,0,0,1.4000000000000001,-6,139.31
2012,1,6,22,30,0,0,0,1.6,-6,149.55
2012,1,6,23,30,0,0,0,1.8,-6,157.6
2012,1,7,0,30,0,0,0,2,-6,160.3
2012,1,7,1,30,0,0,0,1.9000000000000001,-7,155.74
2012,1,7,2,30,0,0,0,1.6,-7,146.84
2012,1,7,3,30,0,0,0,1.3,-7,136.3
2012,1,7,4,30,0,0,0,1.3,-7,125.24000000000001
2012,1,7,5,30,0,0,0,1.4000000000000001,-7,114.15
2012,1,7,6,30,0,0,0,1.8,-7,103.34
2012,1,7,7,30,0,0,0,2.6,-7,93.09
2012,1,7,8,30,86,33,491,4,-6,83.73
2012,1,7,9,30,123,101,87,5.2,-4,75.68
2012,1,7,10,30,209,156,150,5.9,-3,69.42
2012,1,7,11,30,283,188,230,6.2,-2,65.53
2012,1,7,12,30,321,188,308,6.300000000000001,-1,64.44
2012,1,7,13,30,263,183,199,6.1000000000000005,-1,66.3
2012,1,7,14,30,206,143,192,5.4,-2,70.87
2012,1,7,15,30,204,43,754,3.8000000000000003,-3,77.66
2012,1,7,16,30,31,24,108,2.2,-6,86.11
2012,1,7,17,30,0,0,0,1.5,-7,95.74000000000001
2012,1,7,18,30,0,0,0,1.2000000000000002,-8,106.16
2012,1,7,19,30,0,0,0,1.2000000000000002,-8,117.07000000000001
2012,1,7,20,30,0,0,0,1.2000000000000002,-9,128.18
2012,1,7,21,30,0,0,0,1.3,-10,139.16
2012,1,7,22,30,0,0,0,1.4000000000000001,-11,149.39000000000001
2012,1,7,23,30,0,0,0,1.4000000000000001,-12,157.44
2012,1,8,0,30,0,0,0,1.6,-12,160.18
2012,1,8,1,30,0,0,0,2,-13,155.68
2012,1,8,2,30,0,0,0,2.7,-13,146.82
2012,1,8,3,30,0,0,0,3.4000000000000004,-14,136.3
2012,1,8,4,30,0,0,0,3.7,-14,125.24000000000001
2012,1,8,5,30,0,0,0,3.9000000000000004,-14,114.15
2012,1,8,6,30,0,0,0,4,-15,103.33
2012,1,8,7,30,0,0,0,4.1000000000000005,-14,93.07000000000001
2012,1,8,8,30,94,26,622,4.4,-12,83.7
2012,1,8,9,30,248,39,843,4.5,-9,75.62
2012,1,8,10,30,374,46,930,4.3,-6,69.34
2012,1,8,11,30,450,56,947,3.9000000000000004,-3,65.42
2012,1,8,12,30,470,57,952,3.2,-1,64.31
2012,1,8,13,30,431,54,934,2.8000000000000003,0,66.15
2012,1,8,14,30,338,50,870,2.5,0,70.71000000000001
2012,1,8,15,30,202,41,741,1.8,-2,77.5
2012,1,8,16,30,25,24,15,1.7000000000000002,-4,85.94
2012,1,8,17,30,0,0,0,2.3000000000000003,-5,95.57000000000001
2012,1,8,18,30,0,0,0,3,-5,106
2012,1,8,19,30,0,0,0,3.3000000000000003,-6,116.91
2012,1,8,20,30,0,0,0,3.3000000000000003,-7,128.02
2012,1,8,21,30,0,0,0,3.3000000000000003,-7,139
