Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,84032,-,-,-,34.09,-114.86,-8,311,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.2.0
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),
2020,1,1,0,30,0,0,0,0,0,0,0,-3.2,164.84,0,0.21,2.3000000000000003,0.7000000000000001,334,60.32,3.8000000000000003,979,0.0000,0.0000,N/A
2020,1,1,1,30,0,0,0,0,0,0,0,-3.5,154.07,0,0.21,2.2,0.7000000000000001,338,61.1,3.3000000000000003,979,0.0000,0.0000,N/A
2020,1,1,2,30,0,0,0,0,0,0,0,-3.7,141.92000000000002,0,0.21,1.9000000000000001,0.8,343,61.68,2.9000000000000004,978,0.0000,0.0000,N/A
2020,1,1,3,30,0,0,0,0,0,0,0,-3.9000000000000004,129.52,0,0.21,1.8,0.8,344,61.85,2.7,978,0.0000,0.0000,N/A
2020,1,1,4,30,0,0,0,0,0,0,0,-4,117.2,0,0.21,1.9000000000000001,0.9,345,61.76,2.6,978,0.0000,0.0000,N/A
2020,1,1,5,30,0,0,0,0,0,0,4,-4.1000000000000005,105.17,0,0.21,1.9000000000000001,0.9,350,61.26,2.6,979,0.0000,0.0000,N/A
2020,1,1,6,30,0,0,0,0,0,0,8,-4.3,93.63,0,0.21,1.6,1,355,56.78,3.5,979,0.0000,0.0000,N/A
2020,1,1,7,30,43,164,64,33,536,101,8,-2.9000000000000004,82.73,86,0.21,2.1,1.1,356,52.72,6,979,0.0000,0.0000,N/A
2020,1,1,8,30,95,365,201,51,774,275,8,-3.6,73.16,21,0.21,2.7,1.2000000000000002,353,40.87,9,979,9.9946,7.7050,N/A
2020,1,1,9,30,84,747,397,61,868,425,0,-3.4000000000000004,65.22,0,0.21,2.5,1.3,352,34.61,11.700000000000001,979,21.1408,16.4524,N/A
