Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,161083,-,-,-,41.01,-118.42,-8,1331,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle
2012,1,1,0,30,0,0,0,1,-2,160.73
2012,1,1,1,30,0,0,0,1,-2,153.47
2012,1,1,2,30,0,0,0,1,-2,143.32
2012,1,1,3,30,0,0,0,1,-2,132.23
2012,1,1,4,30,0,0,0,1,-2,120.93
2012,1,1,5,30,0,0,0,1,-2,109.77
2012,1,1,6,30,0,0,0,1,-2,99.03
2012,1,1,7,30,13,13,0,1.6,-1,88.99
2012,1,1,8,30,150,42,623,2.3000000000000003,0,80.02
2012,1,1,9,30,294,57,792,2.5,1,72.54
2012,1,1,10,30,401,64,866,2.8000000000000003,4,67.13
2012,1,1,11,30,456,67,896,3.1,5,64.31
2012,1,1,12,30,453,67,894,3.2,6,64.45
2012,1,1,13,30,395,59,879,2.7,7,67.53
2012,1,1,14,30,284,50,807,1.7000000000000002,5,73.16
2012,1,1,15,30,138,36,637,1.4000000000000001,3,80.79
2012,1,1,16,30,0,0,0,1.6,1,89.88
2012,1,1,17,30,0,0,0,1.6,0,100
2012,1,1,18,30,0,0,0,1.6,0,110.79
2012,1,1,19,30,0,0,0,1.7000000000000002,0,121.97
2012,1,1,20,30,0,0,0,1.7000000000000002,0,133.26
2012,1,1,21,30,0,0,0,1.7000000000000002,0,144.3
