,0,,,
Useful Life,30,,,
Wind Cost ($/kW),950,,,
Solar Cost ($/kW),9999,,,
Electrolyzer Installed Cost ($/kW),536.99856,,,
Total Electricity Production (kWh),4313309937,,,
Debt Equity,60,,,
ATB Year,2030,,,
H2 PTC,0,,,
Wind PTC,0,,,
Discount Rate,0.07,,,
NPV Wind Expenses,-1944158370,,,
NPV Solar Expenses,0,,,
NPV HVDC Expenses,0,,,
LCOE ($/MWh),30.34451829,,Ren PTC,
LCOH ($/kg),2.281730652,1.1,1.181730652,$/kgH2
Electrolyzer CF (-),0.492443194,,0.021486012,$/kWh
Hydrogen storage duration (hr),247.0569932,,,
Hydrogen storage capacity (kg),5386820.429,,,
Hydrogen storage CAPEX ($/kg),12.38973636,,,
Hydrogen annual production (kg),74649957.77,,,
LCOH: Compression & storage ($/kg),0.088295909,,,
LCOH: Electrolyzer CAPEX ($/kg),0.44840363,,,
LCOH: Desalination CAPEX ($/kg),0.001370605,,,
LCOH: Electrolyzer FOM ($/kg),0.136492113,,,
LCOH:Desalination FOM ($/kg),0.00257592,,,
LCOH: Electrolyzer VOM ($/kg),0.162126045,,,
LCOH: Renewable CAPEX ($/kg),0.794060661,,,
LCOH: Renewable FOM ($/kg),0.366609284,,,
LCOH: Taxes and Financies ($/kg),0.098746746,,,
LCOH: Water consumption ($/kg),0.021398417,,,
LCOH: Bulk H2 Transmission ($/kg),0.161651324,,,
Steel annual production (tonne/year),1018571.285,,,
Ammonia annual production (kg/year),340548776.1,,,
Steel Price with Integration ($/tonne),987.3944704,,,
Steel price: EAF and Casting CAPEX ($/tonne),7.279478469,,,
Steel price: Shaft Furnace CAPEX ($/tonne),4.13887295,,,
Steel price: Oxygen Supply CAPEX ($/tonne),0.499204248,,,
Steel price: H2 Pre-heating CAPEX ($/tonne),0.285109654,,,
Steel price: Cooling Tower CAPEX ($/tonne),0.614547164,,,
Steel price: Piping CAPEX ($/tonne),1.813395477,,,
Steel price: Electrical & Instrumentation ($/tonne),1.208930319,,,
"Steel price: Buildings, Storage, Water Service CAPEX ($/tonne)",2.74373171,,,
Steel price: Miscellaneous CAPEX ($/tonne),1.208930801,,,
Steel price: Annual Operating Labor Cost ($/tonne),74.17252404,,,
Steel price: Maintenance Labor Cost ($/tonne),5.124200785,,,
Steel price: Administrative & Support Labor Cost ($/tonne),19.82418121,,,
Steel price: Installation Cost ($/tonne),8.670960689,,,
Steel price: Maintenance Materials ($/tonne),7.72,,,
Steel price: Raw Water Withdrawal ($/tonne),0.476487906,,,
Steel price: Lime ($/tonne),3.153149098,,,
Steel price: Carbon ($/tonne),15.57222996,,,
Steel price: Iron Ore ($/tonne),554.7201545,,,
Steel price: Hydrogen ($/tonne),150.5029538,,,
Steel price: Natural gas ($/tonne),2.716709262,,,
Steel price: Electricity ($/tonne),47.37990642,,,
Steel price: Slag Disposal ($/tonne),6.5600379,,,
Steel price: Taxes ($/tonne),14.92825887,,,
Steel price: Financial ($/tonne),69.15041393,,,
Steel price: Oxygen sales ($/tonne),0,,,
Steel price: Total ($/tonne),1000.464369,,,
(-) Steel price: BOS savings ($/tonne),9.912090603,,,
Ammonia price: Air Separation by Cryogenic ($/kg),0.001953415,,,
Ammonia price: Haber Bosch ($/kg),0.0016181,,,
Ammonia price: Boiler and Steam Turbine ($/kg),0.000613562,,,
Ammonia price: Cooling Tower ($/kg),0.000416546,,,
Ammonia price: Depreciable Nonequipment ($/kg),0.002262153,,,
Ammonia price: Labor Cost ($/kg),0.016556811,,,
Ammonia price: Maintenance Cost ($/kg),0.000612064,,,
Ammonia price: Administrative Expense ($/kg),0.003311362,,,
Ammonia price: Hydrogen ($/kg),0.45014987,,,
Ammonia price: Electricity ($/kg),0.045695969,,,
Ammonia price: Cooling water ($/kg),5.58E-06,,,
Ammonia price: Iron based catalyst ($/kg),0.002118032,,,
Ammonia price: Oxygen byproduct ($/kg),0.008386648,,,
Ammonia price: Taxes ($/kg),0.002976739,,,
Ammonia price: Financial ($/kg),0.018725076,,,
Ammonia price: Total ($/kg),0.539665568,,,
