,INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP,starttime_gmt,endtime_gmt,starttime_local,endtime_local
3,2017-01-01T00:00:00-00:00,2017-01-01T01:00:00-00:00,2016-12-31,17,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,38.30574,1,2017-01-01 00:00:00,2017-01-01 01:00:00,2016-12-31 16:00:00-08:00,2016-12-31 17:00:00-08:00
7,2017-01-01T01:00:00-00:00,2017-01-01T02:00:00-00:00,2016-12-31,18,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,43.76299,1,2017-01-01 01:00:00,2017-01-01 02:00:00,2016-12-31 17:00:00-08:00,2016-12-31 18:00:00-08:00
5,2017-01-01T02:00:00-00:00,2017-01-01T03:00:00-00:00,2016-12-31,19,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,41.863609999999994,1,2017-01-01 02:00:00,2017-01-01 03:00:00,2016-12-31 18:00:00-08:00,2016-12-31 19:00:00-08:00
4,2017-01-01T03:00:00-00:00,2017-01-01T04:00:00-00:00,2016-12-31,20,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,41.05464,1,2017-01-01 03:00:00,2017-01-01 04:00:00,2016-12-31 19:00:00-08:00,2016-12-31 20:00:00-08:00
1,2017-01-01T04:00:00-00:00,2017-01-01T05:00:00-00:00,2016-12-31,21,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,40.72353,1,2017-01-01 04:00:00,2017-01-01 05:00:00,2016-12-31 20:00:00-08:00,2016-12-31 21:00:00-08:00
0,2017-01-01T05:00:00-00:00,2017-01-01T06:00:00-00:00,2016-12-31,22,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,38.530390000000004,1,2017-01-01 05:00:00,2017-01-01 06:00:00,2016-12-31 21:00:00-08:00,2016-12-31 22:00:00-08:00
2,2017-01-01T06:00:00-00:00,2017-01-01T07:00:00-00:00,2016-12-31,23,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,36.906420000000004,1,2017-01-01 06:00:00,2017-01-01 07:00:00,2016-12-31 22:00:00-08:00,2016-12-31 23:00:00-08:00
6,2017-01-01T07:00:00-00:00,2017-01-01T08:00:00-00:00,2016-12-31,24,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,33.35367,1,2017-01-01 07:00:00,2017-01-01 08:00:00,2016-12-31 23:00:00-08:00,2017-01-01 00:00:00-08:00
32,2017-01-01T08:00:00-00:00,2017-01-01T09:00:00-00:00,2017-01-01,1,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,31.56567,5,2017-01-01 08:00:00,2017-01-01 09:00:00,2017-01-01 00:00:00-08:00,2017-01-01 01:00:00-08:00
50,2017-01-01T09:00:00-00:00,2017-01-01T10:00:00-00:00,2017-01-01,2,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,31.555509999999998,5,2017-01-01 09:00:00,2017-01-01 10:00:00,2017-01-01 01:00:00-08:00,2017-01-01 02:00:00-08:00
51,2017-01-01T10:00:00-00:00,2017-01-01T11:00:00-00:00,2017-01-01,3,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,31.28251,5,2017-01-01 10:00:00,2017-01-01 11:00:00,2017-01-01 02:00:00-08:00,2017-01-01 03:00:00-08:00
54,2017-01-01T11:00:00-00:00,2017-01-01T12:00:00-00:00,2017-01-01,4,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,31.21538,5,2017-01-01 11:00:00,2017-01-01 12:00:00,2017-01-01 03:00:00-08:00,2017-01-01 04:00:00-08:00
45,2017-01-01T12:00:00-00:00,2017-01-01T13:00:00-00:00,2017-01-01,5,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,30.384,5,2017-01-01 12:00:00,2017-01-01 13:00:00,2017-01-01 04:00:00-08:00,2017-01-01 05:00:00-08:00
40,2017-01-01T13:00:00-00:00,2017-01-01T14:00:00-00:00,2017-01-01,6,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,32.52406,5,2017-01-01 13:00:00,2017-01-01 14:00:00,2017-01-01 05:00:00-08:00,2017-01-01 06:00:00-08:00
49,2017-01-01T14:00:00-00:00,2017-01-01T15:00:00-00:00,2017-01-01,7,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,34.24261,5,2017-01-01 14:00:00,2017-01-01 15:00:00,2017-01-01 06:00:00-08:00,2017-01-01 07:00:00-08:00
46,2017-01-01T15:00:00-00:00,2017-01-01T16:00:00-00:00,2017-01-01,8,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,34.2321,5,2017-01-01 15:00:00,2017-01-01 16:00:00,2017-01-01 07:00:00-08:00,2017-01-01 08:00:00-08:00
55,2017-01-01T16:00:00-00:00,2017-01-01T17:00:00-00:00,2017-01-01,9,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,29.03306,5,2017-01-01 16:00:00,2017-01-01 17:00:00,2017-01-01 08:00:00-08:00,2017-01-01 09:00:00-08:00
42,2017-01-01T17:00:00-00:00,2017-01-01T18:00:00-00:00,2017-01-01,10,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,17.150879999999997,5,2017-01-01 17:00:00,2017-01-01 18:00:00,2017-01-01 09:00:00-08:00,2017-01-01 10:00:00-08:00
