,INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP,starttime_gmt,endtime_gmt,starttime_local,endtime_local
5,2018-01-01T00:00:00-00:00,2018-01-01T01:00:00-00:00,2017-12-31,17,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,39.25353,1,2018-01-01 00:00:00,2018-01-01 01:00:00,2017-12-31 16:00:00-08:00,2017-12-31 17:00:00-08:00
7,2018-01-01T01:00:00-00:00,2018-01-01T02:00:00-00:00,2017-12-31,18,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,53.1267,1,2018-01-01 01:00:00,2018-01-01 02:00:00,2017-12-31 17:00:00-08:00,2017-12-31 18:00:00-08:00
3,2018-01-01T02:00:00-00:00,2018-01-01T03:00:00-00:00,2017-12-31,19,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,50.89521,1,2018-01-01 02:00:00,2018-01-01 03:00:00,2017-12-31 18:00:00-08:00,2017-12-31 19:00:00-08:00
1,2018-01-01T03:00:00-00:00,2018-01-01T04:00:00-00:00,2017-12-31,20,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,48.057190000000006,1,2018-01-01 03:00:00,2018-01-01 04:00:00,2017-12-31 19:00:00-08:00,2017-12-31 20:00:00-08:00
6,2018-01-01T04:00:00-00:00,2018-01-01T05:00:00-00:00,2017-12-31,21,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,44.60648,1,2018-01-01 04:00:00,2018-01-01 05:00:00,2017-12-31 20:00:00-08:00,2017-12-31 21:00:00-08:00
2,2018-01-01T05:00:00-00:00,2018-01-01T06:00:00-00:00,2017-12-31,22,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,38.79905,1,2018-01-01 05:00:00,2018-01-01 06:00:00,2017-12-31 21:00:00-08:00,2017-12-31 22:00:00-08:00
4,2018-01-01T06:00:00-00:00,2018-01-01T07:00:00-00:00,2017-12-31,23,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,35.13854,1,2018-01-01 06:00:00,2018-01-01 07:00:00,2017-12-31 22:00:00-08:00,2017-12-31 23:00:00-08:00
0,2018-01-01T07:00:00-00:00,2018-01-01T08:00:00-00:00,2017-12-31,24,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,32.87089,1,2018-01-01 07:00:00,2018-01-01 08:00:00,2017-12-31 23:00:00-08:00,2018-01-01 00:00:00-08:00
49,2018-01-01T08:00:00-00:00,2018-01-01T09:00:00-00:00,2018-01-01,1,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,35.82995,5,2018-01-01 08:00:00,2018-01-01 09:00:00,2018-01-01 00:00:00-08:00,2018-01-01 01:00:00-08:00
50,2018-01-01T09:00:00-00:00,2018-01-01T10:00:00-00:00,2018-01-01,2,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,34.73558,5,2018-01-01 09:00:00,2018-01-01 10:00:00,2018-01-01 01:00:00-08:00,2018-01-01 02:00:00-08:00
33,2018-01-01T10:00:00-00:00,2018-01-01T11:00:00-00:00,2018-01-01,3,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,33.80534,5,2018-01-01 10:00:00,2018-01-01 11:00:00,2018-01-01 02:00:00-08:00,2018-01-01 03:00:00-08:00
42,2018-01-01T11:00:00-00:00,2018-01-01T12:00:00-00:00,2018-01-01,4,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,32.516329999999996,5,2018-01-01 11:00:00,2018-01-01 12:00:00,2018-01-01 03:00:00-08:00,2018-01-01 04:00:00-08:00
43,2018-01-01T12:00:00-00:00,2018-01-01T13:00:00-00:00,2018-01-01,5,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,32.49908,5,2018-01-01 12:00:00,2018-01-01 13:00:00,2018-01-01 04:00:00-08:00,2018-01-01 05:00:00-08:00
51,2018-01-01T13:00:00-00:00,2018-01-01T14:00:00-00:00,2018-01-01,6,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,33.7728,5,2018-01-01 13:00:00,2018-01-01 14:00:00,2018-01-01 05:00:00-08:00,2018-01-01 06:00:00-08:00
35,2018-01-01T14:00:00-00:00,2018-01-01T15:00:00-00:00,2018-01-01,7,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,35.4054,5,2018-01-01 14:00:00,2018-01-01 15:00:00,2018-01-01 06:00:00-08:00,2018-01-01 07:00:00-08:00
36,2018-01-01T15:00:00-00:00,2018-01-01T16:00:00-00:00,2018-01-01,8,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,34.68623,5,2018-01-01 15:00:00,2018-01-01 16:00:00,2018-01-01 07:00:00-08:00,2018-01-01 08:00:00-08:00
44,2018-01-01T16:00:00-00:00,2018-01-01T17:00:00-00:00,2018-01-01,9,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,30.722440000000002,5,2018-01-01 16:00:00,2018-01-01 17:00:00,2018-01-01 08:00:00-08:00,2018-01-01 09:00:00-08:00
32,2018-01-01T17:00:00-00:00,2018-01-01T18:00:00-00:00,2018-01-01,10,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,26.400059999999996,5,2018-01-01 17:00:00,2018-01-01 18:00:00,2018-01-01 09:00:00-08:00,2018-01-01 10:00:00-08:00
37,2018-01-01T18:00:00-00:00,2018-01-01T19:00:00-00:00,2018-01-01,11,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,24.80467,5,2018-01-01 18:00:00,2018-01-01 19:00:00,2018-01-01 10:00:00-08:00,2018-01-01 11:00:00-08:00
55,2018-01-01T19:00:00-00:00,2018-01-01T20:00:00-00:00,2018-01-01,12,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,23.98524,5,2018-01-01 19:00:00,2018-01-01 20:00:00,2018-01-01 11:00:00-08:00,2018-01-01 12:00:00-08:00
54,2018-01-01T20:00:00-00:00,2018-01-01T21:00:00-00:00,2018-01-01,13,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,22.95833,5,2018-01-01 20:00:00,2018-01-01 21:00:00,2018-01-01 12:00:00-08:00,2018-01-01 13:00:00-08:00
45,2018-01-01T21:00:00-00:00,2018-01-01T22:00:00-00:00,2018-01-01,14,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,24.0641,5,2018-01-01 21:00:00,2018-01-01 22:00:00,2018-01-01 13:00:00-08:00,2018-01-01 14:00:00-08:00
