Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1237575,-,-,-,39.77,-74.22,-5,18,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed,Surface Albedo
2013,1,1,0,30,0,0,0,1,3,1010,88.33,251.60000000000002,3.3000000000000003,0.128
2013,1,1,1,30,0,0,0,1,2,1010,95.65,258.8,3.2,0.128
2013,1,1,2,30,0,0,0,1,2,1010,94.68,265.90000000000003,3.1,0.128
2013,1,1,3,30,0,0,0,0,2,1010,92.81,270.6,3.1,0.128
2013,1,1,4,30,0,0,0,0,2,1010,91.37,272.40000000000003,3.1,0.128
2013,1,1,5,30,0,0,0,0,2,1010,90.63,273.5,3,0.128
2013,1,1,6,30,0,0,0,0,2,1010,90.14,273.40000000000003,3,0.128
2013,1,1,7,30,0,1,1,0,3,1010,84.26,271.3,3.2,0.128
2013,1,1,8,30,0,49,49,0,3,1010,86,269.5,3.4000000000000004,0.128
2013,1,1,9,30,0,88,88,1,4,1010,82.09,267.1,3.4000000000000004,0.128
2013,1,1,10,30,0,116,116,1,4,1010,83.9,269.1,3.2,0.128
2013,1,1,11,30,20,172,182,1,4,1010,85.06,274.5,3.2,0.128
2013,1,1,12,30,4,155,157,1,5,1010,80.42,280.7,3.1,0.128
2013,1,1,13,30,0,123,123,2,4,1010,87.12,289.7,2.9000000000000004,0.128
2013,1,1,14,30,0,82,82,1,4,1010,86.77,304.90000000000003,2.6,0.128
